frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.214716,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,,,,,,,,,,,,,,,
2.3GPa,0.0791755,0.368745,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0,,,0,,,,,,,,,,,,
3.9GPa,0.0078502,0.0365609,0,0,0.0991493,0,,,,,,,,,,,
5GPa,0,0,,,0,,0,,,,,,,,,,
6.2GPa,0.214141,0.997324,0,0,0.369735,0,0.036659,0,,,,,,,,,
6.6GPa,0,0,,,0,,0,,0,,,,,,,,
7.4GPa,0.894469,0.240048,0,0,0.0885167,0,0.00877637,0,0.239406,0,,,,,,,
8.5GPa,0.233467,0.919682,0,0,0.339129,0,0.0336244,0,0.917222,0,0.261012,,,,,,
9.8GPa,0,0,,,0,,0,,0,,0,0,,,,,
10.4GPa,0.215144,0.998012,0,0,0.368012,0,0.0364882,0,0.995342,0,0.240526,0.921514,0,,,,
12.8GPa,0.0533247,0.24835,0,0,0.6735,0,0.147215,0,0.249016,0,0.059616,0.228403,0,0.247856,,,
13.3GPa,0,0,,,0,,0,,0,,0,0,,0,0,,
15.6GPa,0,0,,,0,,0,,0,,0,0,,0,0,,
