frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,,0,,,,,,,,,,,,,,,
1.5GPa,,0,,,,,,,,,,,,,,,
2.3GPa,0,0.394879,0,0,,,,,,,,,,,,,
2.4GPa_decomp,,0,,,0,,,,,,,,,,,,
3.9GPa,,0,,,0,,,,,,,,,,,,
5GPa,0,0.793904,0,0,0.497389,0,0,,,,,,,,,,
6.2GPa,,0,,,0,,,0,,,,,,,,,
6.6GPa,,0,,,0,,,0,,,,,,,,,
7.4GPa,,0,,,0,,,0,,,,,,,,,
8.5GPa,0,0.881457,0,0,0.447985,0,0,0.900673,0,0,0,,,,,,
9.8GPa,0,0.56501,0,0,0.698889,0,0,0.711686,0,0,0,0.640996,,,,,
10.4GPa,,0,,,0,,,0,,,,0,0,,,,
12.8GPa,0,0.381732,0,0,0.966704,0,0,0.480829,0,0,0,0.433069,0.675619,0,,,
13.3GPa,,0,,,0,,,0,,,,0,0,,0,,
15.6GPa,,0,,,0,,,0,,,,0,0,,0,,
