frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,,,,,,,,,,,,,,,,
1.5GPa,0.00161074,0,0,,,,,,,,,,,,,,
2.3GPa,0,,,0,,,,,,,,,,,,,
2.4GPa_decomp,0.0155683,0,0,0.103463,0,,,,,,,,,,,,
3.9GPa,0,,,0,,0,,,,,,,,,,,
5GPa,0,,,0,,0,,,,,,,,,,,
6.2GPa,0.0162074,0,0,0.0993832,0,0.960569,0,0,,,,,,,,,
6.6GPa,0,,,0,,0,,,0,,,,,,,,
7.4GPa,0,,,0,,0,,,0,,,,,,,,
8.5GPa,5.05907e-06,0,0,0.00314083,0,0.000324959,0,0,0.000312146,0,0,,,,,,
9.8GPa,0,,,0,,0,,,0,,,0,,,,,
10.4GPa,0,,,0,,0,,,0,,,0,,,,,
12.8GPa,0,,,0,,0,,,0,,,0,,,,,
13.3GPa,0,,,0,,0,,,0,,,0,,,,,
15.6GPa,0.25522,0,0,0.0063112,0,0.0609997,0,0,0.0635037,0,0,1.98224e-05,0,0,0,0,
