frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,0.519394,,,,,,,,,,,,,,,
1.5GPa,0,0.456021,0.236855,,,,,,,,,,,,,,
2.3GPa,0,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,1,0,0,0,0,,,,,,,,,,,,
3.9GPa,0,0.259828,0.134953,0.569772,0,0,,,,,,,,,,,
5GPa,0,0,0,0,,0,0,,,,,,,,,,
6.2GPa,1,0,0,0,0,1,0,0,,,,,,,,,
6.6GPa,0,0.102744,0.0533647,0.225306,0,0,0.395431,0,0,,,,,,,,
7.4GPa,0,0.210286,0.109221,0.461132,0,0,0.809327,0,0,0.488592,,,,,,,
8.5GPa,0,0.175232,0.0910144,0.384263,0,0,0.674415,0,0,0.586332,0.833303,,,,,,
9.8GPa,0,0.655578,0.340503,0.695601,0,0,0.396334,0,0,0.156723,0.320764,0.267294,,,,,
10.4GPa,0,0,0,0,,0,0,,0,0,0,0,0,,,,
12.8GPa,0,0.0299991,0.0155813,0.0657844,0,0,0.115457,0,0,0.291978,0.142658,0.171196,0.0457597,0,,,
13.3GPa,0,0,0,0,,0,0,,0,0,0,0,0,,0,,
15.6GPa,0,0,0,0,,0,0,,0,0,0,0,0,,0,,
