frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,,0,,,,,,,,,,,,,,,
1.5GPa,0,0.254114,0,,,,,,,,,,,,,,
2.3GPa,,0,,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0.245858,0,0.0624759,0,,,,,,,,,,,,
3.9GPa,0,0.0223449,0,0.0879326,0,0.00549366,,,,,,,,,,,
5GPa,,0,,0,,0,0,,,,,,,,,,
6.2GPa,0,0.51595,0,0.13111,0,0.476514,0.0115289,0,,,,,,,,,
6.6GPa,0,0.526209,0,0.482914,0,0.129373,0.0424639,0,0.271498,,,,,,,,
7.4GPa,0,0.194358,0,0.764846,0,0.0477844,0.114968,0,0.100279,0.369355,,,,,,,
8.5GPa,0,0.546309,0,0.138825,0,0.450034,0.0122072,0,0.944429,0.287473,0.10618,,,,,,
9.8GPa,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
10.4GPa,,0,,0,,0,0,,0,0,0,0,0,,,,
12.8GPa,,0,,0,,0,0,,0,0,0,0,0,,,,
13.3GPa,0,0.50914,0,0.499104,0,0.125176,0.0438875,0,0.262691,0.967563,0.381737,0.278148,0,0,0,,
15.6GPa,,0,,0,,0,0,,0,0,0,0,0,,,0,
