frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.220164,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,,,,,,,,,,,,,,,
2.3GPa,0,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0,,,0,,,,,,,,,,,,
3.9GPa,0.177478,0.0390743,0,0,0,0,,,,,,,,,,,
5GPa,0.716667,0.157784,0,0,0,0,0.247643,,,,,,,,,,
6.2GPa,0,0,,,0,,0,0,,,,,,,,,
6.6GPa,0,0,0,0,1,0,0,0,0,,,,,,,,
7.4GPa,0,0,,,0,,0,0,,0,,,,,,,
8.5GPa,0,0,,,0,,0,0,,0,,,,,,,
9.8GPa,0,0,,,0,,0,0,,0,,,,,,,
10.4GPa,0.663975,0.331585,0,0,0,0,0.117841,0.475849,0,0,0,0,0,,,,
12.8GPa,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,
13.3GPa,0,0,,,0,,0,0,,0,,,,0,0,,
15.6GPa,0.0625153,0.0137636,0,0,0,0,0.352243,0.0872306,0,0,0,0,0,0.0415086,0,0,
