frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,,,,,,,,,,,,,,,,
1.5GPa,0.0480696,0,0,,,,,,,,,,,,,,
2.3GPa,0,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0.0458297,0,0,0.00220302,0,,,,,,,,,,,,
3.9GPa,0.1797,0,0,0.267499,0,0.0082356,,,,,,,,,,,
5GPa,0.233358,0,0,0.0112174,0,0.196393,0.0419343,,,,,,,,,,
6.2GPa,0.160897,0,0,0.00773427,0,0.284839,0.0289132,0.689488,,,,,,,,,
6.6GPa,0,0,0,0,1,0,0,0,0,,,,,,,,
7.4GPa,0,,,0,0,0,0,0,0,0,,,,,,,
8.5GPa,0.244386,0,0,0.0117475,0,0.18753,0.0439161,0.954874,0.658374,0,0,,,,,,
9.8GPa,0.153745,0,0,0.00739046,0,0.298089,0.027628,0.658839,0.955548,0,0,0.629108,,,,,
10.4GPa,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,
12.8GPa,0.105592,0,0,0.00507577,0,0.434026,0.0189749,0.452491,0.656271,0,0,0.432072,0.6868,0,,,
13.3GPa,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,
15.6GPa,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,
