frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.457106,,,,,,,,,,,,,,,,
1.3GPa,0.824177,0.376736,,,,,,,,,,,,,,,
1.5GPa,0.739504,0.338031,0.897264,,,,,,,,,,,,,,
2.3GPa,0,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0.160236,0.350544,0.132063,0.118495,0,,,,,,,,,,,,
3.9GPa,0,0,0,0,,0,,,,,,,,,,,
5GPa,0,0,0,0,,0,,,,,,,,,,,
6.2GPa,0,0,0,0,,0,,,,,,,,,,,
6.6GPa,0,0,0,0,0,0,0,0,0,,,,,,,,
7.4GPa,0.743223,0.615032,0.612547,0.549616,0,0.215596,0,0,0,0,,,,,,,
8.5GPa,0.457784,0.998519,0.377295,0.338533,0,0.350025,0,0,0,0,0.615944,,,,,,
9.8GPa,0.357937,0.78305,0.295003,0.264696,0,0.447665,0,0,0,0,0.481601,0.78189,,,,,
10.4GPa,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
12.8GPa,0,0,0,0,,0,,,,0,0,0,0,0,,,
13.3GPa,0.427047,0.934242,0.351963,0.315803,0,0.375218,0,0,0,0,0.574589,0.932858,0.838166,0,0,,
15.6GPa,0,0,0,0,,0,,,,0,0,0,0,0,,0,
