frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,,,,,,,,,,,,,,,,
1.5GPa,0.00417335,0,0,,,,,,,,,,,,,,
2.3GPa,0.0100305,0,0,0.416064,,,,,,,,,,,,,
2.4GPa_decomp,0.00706039,0,0,0.591092,0.70389,,,,,,,,,,,,
3.9GPa,0.00381178,0,0,0.913363,0.380017,0.539882,,,,,,,,,,,
5GPa,0,,,0,0,0,0,,,,,,,,,,
6.2GPa,0.000800293,0,0,0.191763,0.0797857,0.11335,0.209953,0,,,,,,,,,
6.6GPa,0,,,0,0,0,0,,0,,,,,,,,
7.4GPa,0.00848594,0,0,0.491795,0.846011,0.83201,0.449187,0,0.0943081,0,,,,,,,
8.5GPa,0.00466354,0,0,0.894887,0.464935,0.660522,0.817357,0,0.171606,0,0.549561,,,,,,
9.8GPa,0,,,0,0,0,0,,0,,0,0,,,,,
10.4GPa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
12.8GPa,0.105376,0,0,0.0396042,0.0951878,0.0670017,0.036173,0,0.00759463,0,0.0805299,0.0442561,0,0,,,
13.3GPa,0,,,0,0,0,0,,0,,0,0,,0,0,,
15.6GPa,0.114134,0,0,0.0365652,0.0878837,0.0618605,0.0333973,0,0.00701186,0,0.0743506,0.0408602,0,0,0.923266,0,
