frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,,0,,,,,,,,,,,,,,,
1.5GPa,,0,,,,,,,,,,,,,,,
2.3GPa,0,0.670588,0,0,,,,,,,,,,,,,
2.4GPa_decomp,,0,,,0,,,,,,,,,,,,
3.9GPa,0,0.255606,0,0,0.171406,0,,,,,,,,,,,
5GPa,0,0.821415,0,0,0.816381,0,0.209958,,,,,,,,,,
6.2GPa,0,0.536142,0,0,0.35953,0,0.47675,0.440395,,,,,,,,,
6.6GPa,,0,,,0,,0,0,0,,,,,,,,
7.4GPa,0,0.804731,0,0,0.539643,0,0.317629,0.661018,0.666238,0,,,,,,,
8.5GPa,0,0.51301,0,0,0.344018,0,0.498247,0.421394,0.956856,0,0.637493,,,,,,
9.8GPa,,0,,,0,,0,0,0,,0,0,,,,,
10.4GPa,0,0.011698,0,0,0.0174445,0,0.00299009,0.0142413,0.00627181,0,0.00941378,0.00600122,0,,,,
12.8GPa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13.3GPa,,0,,,0,,0,0,0,,0,0,,0,0,,
15.6GPa,,0,,,0,,0,0,0,,0,0,,0,0,,
