frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,,,,,,,,,,,,,,,,
1.5GPa,0.00919066,0,0,,,,,,,,,,,,,,
2.3GPa,0,,,0,,,,,,,,,,,,,
2.4GPa_decomp,0,,,0,,,,,,,,,,,,,
3.9GPa,0,0,0,0,0,0,,,,,,,,,,,
5GPa,0,0,0,0,0,0,1,,,,,,,,,,
6.2GPa,0,,,0,,,0,0,,,,,,,,,
6.6GPa,0.935545,0,0,0.00859828,0,0,0,0,0,,,,,,,,
7.4GPa,0.11923,0,0,0.0770832,0,0,0,0,0,0.111546,,,,,,,
8.5GPa,0,,,0,,,0,0,,0,0,,,,,,
9.8GPa,0.0579204,0,0,0.000532327,0,0,0,0,0,0.0619109,0.00690588,0,,,,,
10.4GPa,0,,,0,,,0,0,,0,0,,0,,,,
12.8GPa,0,,,0,,,0,0,,0,0,,0,,,,
13.3GPa,0.346941,0,0,0.0264906,0,0,0,0,0,0.324579,0.343663,0,0.0200949,0,0,,
15.6GPa,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
