frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,,0,,,,,,,,,,,,,,,
1.5GPa,0,0.543575,0,,,,,,,,,,,,,,
2.3GPa,,0,,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0.462011,0,0.251137,0,,,,,,,,,,,,
3.9GPa,0,0.14048,0,0.258437,0,0.0649032,,,,,,,,,,,
5GPa,0,0.706151,0,0.769771,0,0.32625,0.198937,,,,,,,,,,
6.2GPa,0,0.916716,0,0.498304,0,0.503985,0.12878,0.64734,,,,,,,,,
6.6GPa,0,0.876837,0,0.476626,0,0.526906,0.123178,0.619179,0.956498,,,,,,,,
7.4GPa,,0,,0,,0,0,0,0,0,,,,,,,
8.5GPa,0,0.840038,0,0.456623,0,0.549988,0.118008,0.593194,0.916356,0.958033,0,,,,,,
9.8GPa,,0,,0,,0,0,0,0,0,,0,,,,,
10.4GPa,,0,,0,,0,0,0,0,0,,0,,,,,
12.8GPa,0,0.231614,0,0.1259,0,0.501317,0.0325371,0.163555,0.252656,0.264147,0,0.275719,0,0,,,
13.3GPa,,0,,0,,0,0,0,0,0,,0,,,0,,
15.6GPa,0,0.363623,0,0.197656,0,0.787043,0.0510816,0.256773,0.396658,0.414698,0,0.432864,0,0,0.636963,0,
