frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0,0,0,1,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0.498182,0,0,,,,,,,,,,,,
3.9GPa,0,0,0.940005,0,0,0.529978,,,,,,,,,,,
5GPa,0,0,0.894438,0,0,0.445593,0.840776,,,,,,,,,,
6.2GPa,0,0,0.735648,0,0,0.677202,0.7826,0.657992,,,,,,,,,
6.6GPa,,,0,0,0,0,0,0,0,,,,,,,,
7.4GPa,0,0,0,1,1,0,0,0,0,0,,,,,,,
8.5GPa,0,0,0.759829,0,0,0.378533,0.714243,0.849504,0.558966,0,0,,,,,,
9.8GPa,0,0,0.920776,0,0,0.458714,0.865534,0.971396,0.677367,0,0,0.825205,,,,,
10.4GPa,,,0,0,0,0,0,0,0,,0,0,0,,,,
12.8GPa,0,0,0.177586,0,0,0.356468,0.18892,0.15884,0.241401,0,0,0.134935,0.163517,0,,,
13.3GPa,,,0,0,0,0,0,0,0,,0,0,0,,0,,
15.6GPa,0,0,0.243322,0,0,0.48842,0.258852,0.217637,0.330759,0,0,0.184883,0.224045,0,0.729839,0,
