frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.0426534,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0.342881,0.124397,0,,,,,,,,,,,,,,
2.3GPa,0,0,,0,,,,,,,,,,,,,
2.4GPa_decomp,0.572405,0.0745162,0,0.599019,0,,,,,,,,,,,,
3.9GPa,0,0,,0,,0,,,,,,,,,,,
5GPa,0.429201,0.0993786,0,0.798883,0,0.749821,0,,,,,,,,,,
6.2GPa,0,0,,0,,0,,0,,,,,,,,,
6.6GPa,0,0,,0,,0,,0,,,,,,,,,
7.4GPa,0.564925,0.0755028,0,0.60695,0,0.986933,0,0.759749,0,0,,,,,,,
8.5GPa,0.902422,0.0472655,0,0.379957,0,0.634298,0,0.47561,0,0,0.62601,,,,,,
9.8GPa,0.187456,0.227539,0,0.546707,0,0.327488,0,0.436755,0,0,0.331824,0.207725,,,,,
10.4GPa,0,0,,0,,0,,0,,,0,0,0,,,,
12.8GPa,0.523308,0.0223208,0,0.179432,0,0.299544,0,0.224604,0,0,0.29563,0.472244,0.0980969,0,,,
13.3GPa,0,0,,0,,0,,0,,,0,0,0,,0,,
15.6GPa,0.774127,0.0330192,0,0.265434,0,0.443114,0,0.332256,0,0,0.437324,0.698589,0.145114,0,0.675997,0,
