frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.582897,,,,,,,,,,,,,,,,
1.3GPa,0.770731,0.756291,,,,,,,,,,,,,,,
1.5GPa,0.607474,0.354095,0.468199,,,,,,,,,,,,,,
2.3GPa,0.207408,0.120898,0.159856,0.341428,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0,0,0,,,,,,,,,,,,
3.9GPa,0.13578,0.232939,0.17617,0.0824825,0.0281618,0,,,,,,,,,,,
5GPa,0.384778,0.224286,0.296561,0.633407,0.539034,0,0.052245,,,,,,,,,,
6.2GPa,0,0,0,0,0,,0,0,,,,,,,,,
6.6GPa,0,0,0,0,0,0,0,0,0,,,,,,,,
7.4GPa,0.480093,0.279845,0.370023,0.79031,0.432017,0,0.0651868,0.801466,0,0,,,,,,,
8.5GPa,0,0,0,0,0,,0,0,,0,0,,,,,,
9.8GPa,0.327763,0.191052,0.252617,0.53955,0.6328,0,0.0445035,0.851823,0,0,0.682707,0,,,,,
10.4GPa,0,0,0,0,0,,0,0,,0,0,,0,,,,
12.8GPa,0,0,0,0,0,,0,0,,0,0,,0,,,,
13.3GPa,0,0,0,0,0,,0,0,,0,0,,0,,,,
15.6GPa,0,0,0,0,0,,0,0,,0,0,,0,,,,
