frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0.929832,0,,,,,,,,,,,,,,,
1.5GPa,0,,0,,,,,,,,,,,,,,
2.3GPa,0.829971,0,0.771733,0,,,,,,,,,,,,,
2.4GPa_decomp,0,,0,,0,,,,,,,,,,,,
3.9GPa,0.204502,0,0.219934,0,0.169731,0,,,,,,,,,,,
5GPa,0,,0,,0,,0,,,,,,,,,,
6.2GPa,0,,0,,0,,0,,,,,,,,,,
6.6GPa,0,,0,,0,,0,,,,,,,,,,
7.4GPa,0,0,0,0,0,0,0,0,0,0,,,,,,,
8.5GPa,0,,0,,0,,0,,,,0,,,,,,
9.8GPa,0,,0,,0,,0,,,,0,,,,,,
10.4GPa,0,,0,,0,,0,,,,0,,,,,,
12.8GPa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
13.3GPa,0,,0,,0,,0,,,,0,,,,0,,
15.6GPa,0.629698,0,0.585513,0,0.758699,0,0.128775,0,0,0,0,0,0,0,0,0,
