peak_group,group_two_theta,frame_count,frames_present,max_normalized_intensity,tier_a_count,tier_b_count,tier_c_count,source_methods
29,3.112970,12,0.7GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0124897,8,6,0,bump;matched;micro;raw;residual;shoulder
30,3.137913,9,0.7GPa;1GPa;1.3GPa;2.3GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa,0.00171639,6,3,0,bump;matched;micro;raw;residual;shoulder
31,3.163084,6,0.7GPa;1GPa;6.6GPa;8.5GPa;12.8GPa;15.6GPa,0.0770078,4,2,0,bump;matched;micro;raw;shoulder
32,3.189515,6,1.3GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa;15.6GPa,0.0771786,5,2,0,bump;matched;micro;raw;shoulder
33,3.226086,7,1GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;12.8GPa,0.00106321,0,7,0,matched;micro;raw;shoulder
34,3.250114,4,0.7GPa;1GPa;2.3GPa;8.5GPa,0.00280987,0,4,0,matched;micro;raw;shoulder
35,3.296676,2,6.6GPa;10.4GPa,0.00251275,0,2,0,matched;micro;raw;shoulder
36,3.387777,14,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa,0.0380016,6,14,0,matched;micro;raw;shoulder
37,3.412204,12,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;9.8GPa;12.8GPa,0.0483508,5,10,0,matched;micro;raw;shoulder
38,3.451904,13,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.0592081,10,9,0,matched;micro;raw;shoulder
39,3.483751,6,2.4GPa_decomp;5GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa,0.0102201,3,5,0,matched;micro;raw;shoulder
40,3.511558,8,0.7GPa;1GPa;1.3GPa;1.5GPa;3.9GPa;6.2GPa;9.8GPa;15.6GPa,0.00136357,3,5,0,matched;micro;raw;residual;shoulder
41,3.540591,10,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa,0.176202,5,7,0,matched;micro;raw;shoulder
42,3.575444,10,0.7GPa;1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.01406,5,7,0,bump;matched;micro;raw;residual;shoulder
43,3.614953,7,0.7GPa;6.2GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.0266711,4,4,0,bump;matched;micro;raw;residual;shoulder
44,3.641747,7,1GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;15.6GPa,0.00556594,5,2,0,matched;micro;raw;shoulder
45,3.661283,7,1GPa;1.5GPa;2.4GPa_decomp;5GPa;10.4GPa;13.3GPa;15.6GPa,0.00733523,5,2,0,matched;micro;raw;residual;shoulder
46,3.705986,8,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;9.8GPa,0.166142,4,6,0,matched;micro;raw;shoulder
47,3.742212,7,1GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;10.4GPa;13.3GPa,0.00498401,7,2,0,bump;matched;micro;raw;residual;shoulder
48,3.779319,9,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;15.6GPa,0.201399,13,1,0,bump;matched;micro;raw;residual;shoulder
49,3.805815,13,1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa,0.0338212,16,2,0,bump;matched;micro;raw;residual;shoulder
50,3.838014,10,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;13.3GPa;15.6GPa,0.131389,7,4,0,matched;micro;raw;residual;shoulder
51,3.875309,2,10.4GPa;13.3GPa,0.0278831,1,1,0,matched;micro;raw;residual;shoulder
52,3.915661,6,0.7GPa;1GPa;2.3GPa;6.6GPa;10.4GPa;13.3GPa,0.0247088,5,2,0,bump;matched;micro;raw;residual;shoulder
53,3.948452,6,1GPa;1.5GPa;5GPa;6.2GPa;6.6GPa;15.6GPa,0.00883213,2,5,0,matched;micro;raw;shoulder
54,3.983820,3,0.7GPa;1.3GPa;8.5GPa,0.000200437,2,1,0,bump;matched;micro;raw;residual;shoulder
55,4.011113,9,0.7GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa,0.0322935,2,9,0,bump;matched;micro;raw;residual;shoulder
56,4.051760,9,1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;8.5GPa;10.4GPa;13.3GPa;15.6GPa,0.019028,3,7,0,bump;matched;micro;raw;shoulder
57,4.080090,7,1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa,0.0191128,2,6,0,matched;micro;raw;shoulder
58,4.114567,7,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;7.4GPa;12.8GPa;13.3GPa,0.771759,5,4,0,bump;matched;micro;raw;residual;shoulder
59,4.142398,6,1GPa;1.5GPa;2.3GPa;6.6GPa;10.4GPa;15.6GPa,0.0116993,4,2,0,bump;matched;micro;raw;shoulder
60,4.178640,9,1.3GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa;15.6GPa,0.12233,6,5,0,matched;micro;raw;shoulder
61,4.213437,8,0.7GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;12.8GPa,0.0478462,7,3,0,bump;matched;micro;raw;shoulder
62,4.247201,8,0.7GPa;1GPa;6.2GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0338382,6,4,0,bump;matched;micro;raw;shoulder
63,4.287192,6,1GPa;1.3GPa;2.4GPa_decomp;5GPa;8.5GPa;12.8GPa,0.0318829,2,5,0,matched;micro;raw;shoulder
64,4.306370,3,0.7GPa;6.6GPa;13.3GPa,0.0209388,2,1,0,matched;micro;raw;shoulder
65,4.365336,10,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.0113956,3,7,0,bump;matched;micro;raw;shoulder
66,4.404522,1,13.3GPa,0.0173691,1,0,0,matched;micro;shoulder
67,4.432672,3,10.4GPa;13.3GPa;15.6GPa,0.00441759,1,2,0,matched;micro;raw;shoulder
68,4.476145,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.0888786,6,8,0,matched;micro;raw;shoulder
69,4.509138,11,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,0.111744,7,8,0,matched;micro;raw;residual;shoulder
70,4.532140,4,3.9GPa;7.4GPa;10.4GPa;12.8GPa,0.0325318,2,3,0,bump;matched;micro;raw;residual;shoulder
71,4.572750,9,0.7GPa;1GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa,0.0382782,6,5,0,matched;micro;raw;shoulder
72,4.601735,8,1.3GPa;1.5GPa;2.4GPa_decomp;5GPa;6.2GPa;8.5GPa;9.8GPa;15.6GPa,0.087117,5,6,0,matched;micro;raw;shoulder
73,4.634258,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,0.0692487,5,7,0,matched;micro;raw;shoulder
74,4.673485,12,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.0359759,7,7,0,bump;matched;micro;raw;residual;shoulder
75,4.719060,4,1.3GPa;3.9GPa;5GPa;8.5GPa,0.0378064,4,2,0,matched;micro;raw;shoulder
76,4.744009,9,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa,0.0158658,8,3,0,matched;micro;raw;residual;shoulder
77,4.773523,8,0.7GPa;1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa;13.3GPa,0.0211516,6,3,0,matched;micro;raw;residual;shoulder
78,4.799983,7,1GPa;1.5GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa,0.00126919,2,6,0,bump;matched;micro;raw;residual;shoulder
79,4.849123,9,0.7GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0152318,3,8,0,matched;micro;raw;residual;shoulder
80,4.868031,11,1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa;12.8GPa,0.142236,8,6,0,matched;micro;raw;residual;shoulder
