peak_group,group_two_theta,frame_count,frames_present,max_normalized_intensity,tier_a_count,tier_b_count,tier_c_count,source_methods
162,7.678479,8,0.7GPa;1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;13.3GPa,0.453579,7,2,0,bump;matched;micro;raw;residual;shoulder
163,7.714040,8,0.7GPa;1.3GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;13.3GPa;15.6GPa,0.658837,7,3,0,bump;matched;micro;raw;residual;shoulder
164,7.742859,6,1.3GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa,0.0141594,2,4,0,bump;matched;micro;raw;residual;shoulder
165,7.798503,9,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,1,7,7,0,bump;matched;micro;raw;residual;shoulder
166,7.822052,6,0.7GPa;1.5GPa;2.4GPa_decomp;8.5GPa;9.8GPa;12.8GPa,0.359003,3,3,0,bump;matched;micro;raw;residual;shoulder
167,7.854346,7,1.3GPa;2.3GPa;2.4GPa_decomp;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.275788,4,5,0,bump;matched;micro;raw;residual;shoulder
168,7.899779,5,1GPa;3.9GPa;6.6GPa;7.4GPa;10.4GPa,1,1,4,0,matched;micro;raw;shoulder
169,7.916476,5,1.3GPa;3.9GPa;8.5GPa;9.8GPa;15.6GPa,0.56156,2,3,0,bump;matched;micro;raw;residual;shoulder
170,7.963363,6,0.7GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;13.3GPa,0.0575123,3,3,0,bump;matched;micro;raw;residual;shoulder
171,8.006504,5,0.7GPa;1GPa;7.4GPa;8.5GPa;10.4GPa,0.0546376,6,0,0,bump;matched;micro;raw;residual;shoulder
172,8.041517,6,1GPa;1.5GPa;3.9GPa;6.6GPa;9.8GPa;12.8GPa,0.859788,6,1,0,bump;matched;micro;raw;residual;shoulder
173,8.061055,6,1.3GPa;1.5GPa;2.3GPa;6.6GPa;12.8GPa;13.3GPa,0.989337,6,1,0,bump;matched;micro;raw;residual;shoulder
174,8.106667,5,0.7GPa;2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa,0.131006,3,2,0,bump;matched;micro;raw;residual;shoulder
175,8.130716,3,0.7GPa;3.9GPa;6.6GPa,0.0444745,4,0,0,matched;micro;raw;shoulder
176,8.168460,6,0.7GPa;1GPa;2.3GPa;3.9GPa;5GPa;15.6GPa,0.0503484,3,3,0,bump;matched;micro;raw;shoulder
177,8.193030,5,1.3GPa;2.4GPa_decomp;5GPa;6.2GPa;10.4GPa,0.0176021,6,1,0,bump;matched;micro;raw;residual;shoulder
178,8.224169,8,1GPa;1.5GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa,0.22974,7,3,0,bump;matched;micro;raw;residual;shoulder
179,8.253338,10,1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;15.6GPa,0.316436,8,6,0,bump;matched;micro;raw;residual;shoulder
180,8.280945,8,1GPa;2.3GPa;2.4GPa_decomp;5GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.384519,8,2,0,bump;matched;micro;raw;residual;shoulder
181,8.323819,7,0.7GPa;1GPa;2.3GPa;6.2GPa;9.8GPa;12.8GPa;13.3GPa,0.203629,4,4,0,bump;matched;micro;raw;residual;shoulder
182,8.345839,7,1.5GPa;3.9GPa;5GPa;7.4GPa;10.4GPa;13.3GPa;15.6GPa,0.000451516,1,6,0,micro;raw;shoulder
183,8.374289,2,3.9GPa;15.6GPa,0,0,2,0,matched;residual
184,8.420329,5,5GPa;6.2GPa;6.6GPa;9.8GPa;13.3GPa,0.0150725,2,4,0,matched;micro;raw;residual;shoulder
185,8.440657,4,3.9GPa;6.2GPa;8.5GPa;15.6GPa,0.556434,4,1,0,matched;micro;raw;residual;shoulder
186,8.478543,7,0.7GPa;1.3GPa;2.3GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa,0.0979092,3,6,0,matched;micro;raw;residual;shoulder
187,8.501226,2,7.4GPa;9.8GPa,0.145066,2,2,0,matched;micro;raw;shoulder
188,8.547506,4,2.3GPa;7.4GPa;9.8GPa;12.8GPa,0.140729,2,3,0,matched;micro;raw;shoulder
189,8.572916,6,1GPa;5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.407887,3,4,0,matched;micro;raw;residual;shoulder
190,8.605574,4,1GPa;3.9GPa;8.5GPa;15.6GPa,8.50884e-06,1,4,0,micro;raw;shoulder
191,8.641886,6,1.5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa,0.00607116,4,3,0,bump;matched;micro;raw;shoulder
192,8.674413,6,0.7GPa;1GPa;2.4GPa_decomp;9.8GPa;12.8GPa;15.6GPa,0.495988,5,3,0,bump;matched;micro;raw;residual;shoulder
193,8.698683,6,1GPa;2.3GPa;2.4GPa_decomp;8.5GPa;9.8GPa;10.4GPa,0.367807,4,4,0,bump;matched;micro;raw;shoulder
194,8.729662,3,2.3GPa;2.4GPa_decomp;3.9GPa,0.0982174,3,1,0,matched;micro;raw;shoulder
195,8.767421,5,2.3GPa;5GPa;6.2GPa;12.8GPa;13.3GPa,0.018173,3,4,0,bump;matched;micro;raw;shoulder
196,8.803706,5,1GPa;5GPa;6.2GPa;9.8GPa;10.4GPa,0.00937508,2,3,0,matched;micro;raw;shoulder
197,8.840323,6,2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;9.8GPa,0.00648316,4,6,0,bump;matched;micro;raw;residual;shoulder
198,8.869954,7,1.5GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa,0.0161151,5,4,0,matched;micro;raw;shoulder
199,8.892082,7,0.7GPa;1GPa;1.5GPa;5GPa;7.4GPa;8.5GPa;9.8GPa,0.00580159,2,6,0,bump;matched;micro;raw;residual;shoulder
200,8.924346,7,1GPa;1.3GPa;5GPa;6.2GPa;9.8GPa;12.8GPa;15.6GPa,0.155637,7,3,0,bump;matched;micro;raw;residual;shoulder
201,8.962157,5,1GPa;1.5GPa;2.3GPa;9.8GPa;12.8GPa,0.00648724,3,3,0,bump;matched;micro;raw;shoulder
202,8.990237,4,2.3GPa;5GPa;9.8GPa;15.6GPa,0.00803877,2,2,0,bump;matched;micro;residual
203,9.046025,7,1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;15.6GPa,0.0370008,5,3,0,bump;matched;raw;residual;shoulder
204,9.074369,8,3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;15.6GPa,0.0248579,7,5,0,matched;micro;raw;shoulder
205,9.102263,8,1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa,0.907589,5,4,0,bump;matched;micro;raw;shoulder
206,9.130544,6,1.5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa;13.3GPa,0.0039035,3,3,0,matched;micro;raw;residual;shoulder
207,9.170933,7,2.3GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,0.398706,6,2,0,bump;matched;micro;raw;residual;shoulder
208,9.199949,4,2.3GPa;7.4GPa;10.4GPa;13.3GPa,0.00972661,4,1,0,bump;matched;micro;raw;shoulder
209,9.237447,4,3.9GPa;7.4GPa;12.8GPa;13.3GPa,0.000949037,3,1,0,bump;micro;raw;shoulder
210,9.271309,5,1GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa,0.000568339,1,4,0,bump;micro;raw;shoulder
211,9.306550,4,1.3GPa;1.5GPa;5GPa;8.5GPa,0.00348631,1,4,0,bump;matched;micro;raw;shoulder
212,9.338494,4,2.4GPa_decomp;6.2GPa;6.6GPa;8.5GPa,0.757706,2,2,0,bump;matched;micro;raw;shoulder
213,9.369401,5,1GPa;2.4GPa_decomp;5GPa;6.2GPa;9.8GPa,0.0489802,3,3,0,bump;matched;micro;raw;residual;shoulder
214,9.395331,8,0.7GPa;1.3GPa;1.5GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa;15.6GPa,1,9,2,0,bump;matched;micro;raw;residual;shoulder
215,9.433925,4,2.3GPa;3.9GPa;7.4GPa;12.8GPa,1,1,3,0,bump;matched;micro;raw;shoulder
216,9.450095,3,2.3GPa;6.6GPa;8.5GPa,0.00460416,2,1,0,bump;matched;micro;raw;residual;shoulder
217,9.480984,5,1GPa;6.6GPa;8.5GPa;9.8GPa;10.4GPa,0.188641,2,3,0,bump;matched;micro;raw;residual;shoulder
218,9.513614,3,1.5GPa;3.9GPa;13.3GPa,0.521139,2,1,0,bump;matched;micro;raw;residual;shoulder
219,9.560449,1,5GPa,0.00178373,1,0,0,bump;matched;micro;raw;residual;shoulder
220,9.592521,4,0.7GPa;1.3GPa;1.5GPa;6.2GPa,0.00748807,1,4,0,bump;matched;micro;raw;residual;shoulder
221,9.633151,4,3.9GPa;7.4GPa;8.5GPa;15.6GPa,0.00477941,2,2,0,bump;matched;micro;raw;residual;shoulder
222,9.670377,4,0.7GPa;1GPa;6.6GPa;9.8GPa,0.00840032,2,3,0,bump;matched;micro;raw;residual;shoulder
223,9.702888,4,1.3GPa;1.5GPa;10.4GPa;12.8GPa,0.0563366,1,3,0,bump;matched;micro;raw;residual;shoulder
224,9.740329,4,1GPa;1.5GPa;2.3GPa;3.9GPa,0.00013814,2,3,0,bump;micro;raw;shoulder
225,9.766064,1,3.9GPa,0.0219676,2,0,0,matched;residual
226,9.807335,7,1GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa,0.0160999,8,2,0,bump;matched;micro;raw;shoulder
227,9.829355,6,1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa,0.183261,4,3,0,bump;matched;micro;raw;shoulder
228,9.874274,4,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa,0.0171238,4,1,0,matched;residual
229,9.917810,6,0.7GPa;1.5GPa;2.4GPa_decomp;6.2GPa;8.5GPa;15.6GPa,0.44345,7,3,0,bump;matched;micro;raw;residual;shoulder
230,9.943391,4,1.3GPa;1.5GPa;6.2GPa;9.8GPa,0.110755,3,1,0,bump;matched;micro;raw;residual;shoulder
231,9.985616,3,2.3GPa;2.4GPa_decomp;9.8GPa,0.0518516,2,1,0,matched;micro;raw;shoulder
232,10.013829,5,2.3GPa;3.9GPa;6.6GPa;7.4GPa;12.8GPa,0.00357991,3,2,0,bump;matched;micro;raw;residual;shoulder
233,10.055210,7,1.5GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa,0.0483247,3,5,0,bump;matched;micro;raw;residual;shoulder
234,10.082301,2,5GPa;13.3GPa,0.199365,3,0,0,bump;matched;micro;raw;residual;shoulder
235,10.101736,4,2.3GPa;5GPa;6.2GPa;9.8GPa,0.215457,2,3,0,matched;micro;raw;residual;shoulder
236,10.136729,4,3.9GPa;6.2GPa;7.4GPa;8.5GPa,0.118105,3,2,0,bump;matched;micro;raw;residual;shoulder
237,10.168426,8,0.7GPa;1GPa;1.3GPa;1.5GPa;3.9GPa;7.4GPa;8.5GPa;9.8GPa,0.297815,3,6,0,bump;matched;micro;raw;residual;shoulder
238,10.206580,5,1GPa;1.5GPa;2.3GPa;8.5GPa;9.8GPa,0.816516,4,3,0,matched;micro;raw;residual;shoulder
239,10.243535,4,0.7GPa;2.3GPa;9.8GPa;12.8GPa,1,3,2,0,bump;matched;micro;raw;shoulder
240,10.281990,5,0.7GPa;1GPa;2.3GPa;9.8GPa;12.8GPa,0.00082878,1,4,0,matched;micro;raw;residual;shoulder
241,10.328086,5,1.5GPa;2.3GPa;3.9GPa;5GPa;15.6GPa,0.00123664,0,5,0,bump;matched;micro;raw;residual;shoulder
242,10.364363,4,0.7GPa;2.4GPa_decomp;5GPa;6.2GPa,0.00820487,0,4,0,matched;micro;raw;shoulder
243,10.435574,5,0.7GPa;2.3GPa;6.2GPa;8.5GPa;12.8GPa,0.00122601,0,5,0,bump;matched;raw;residual;shoulder
244,10.476643,2,0.7GPa;10.4GPa,0.039602,0,2,0,matched;shoulder
245,10.515759,2,1GPa;15.6GPa,1,1,1,0,bump;matched;micro;raw;residual;shoulder
246,10.558034,2,1.5GPa;15.6GPa,0.00557199,2,0,0,bump;matched;residual
247,10.608767,9,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;15.6GPa,0.61585,9,2,0,bump;matched;micro;raw;residual;shoulder
248,10.646925,8,2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;13.3GPa,1,10,0,0,bump;matched;micro;raw;residual;shoulder
249,10.673075,8,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa,0.265965,13,0,0,bump;matched;micro;raw;residual;shoulder
250,10.704100,7,1GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa,0.320289,7,0,0,bump;matched;micro;raw;residual;shoulder
251,10.733626,5,1GPa;1.5GPa;6.2GPa;12.8GPa;13.3GPa,0.556574,6,0,0,bump;matched;micro;raw;residual;shoulder
252,10.762425,1,1.5GPa,0.19672,1,0,0,matched;micro;raw;shoulder
253,10.816963,7,0.7GPa;1.3GPa;2.3GPa;3.9GPa;7.4GPa;12.8GPa;15.6GPa,0.0248359,3,6,0,bump;matched;micro;raw;residual;shoulder
254,10.841502,2,6.2GPa;7.4GPa,0.000101536,0,2,0,micro;raw;shoulder
255,10.883870,4,0.7GPa;1GPa;3.9GPa;12.8GPa,0.419052,2,4,0,bump;matched;micro;raw;residual;shoulder
256,10.904780,6,1.3GPa;1.5GPa;5GPa;8.5GPa;9.8GPa;15.6GPa,6.03066e-05,1,5,0,bump;matched;micro;raw;residual;shoulder
257,10.956457,5,5GPa;6.2GPa;6.6GPa;10.4GPa;15.6GPa,1,2,3,0,matched;micro;raw;shoulder
258,10.991096,5,1GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa,0.31945,5,2,0,bump;matched;micro;raw;residual;shoulder
259,11.033150,8,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa,0.61729,9,2,0,bump;matched;micro;raw;residual;shoulder
260,11.071070,5,2.3GPa;2.4GPa_decomp;5GPa;8.5GPa;9.8GPa,0.684311,6,0,0,bump;matched;micro;raw;residual;shoulder
261,11.096601,7,0.7GPa;2.3GPa;2.4GPa_decomp;5GPa;12.8GPa;13.3GPa;15.6GPa,0.677533,3,5,0,matched;micro;raw;shoulder
262,11.126180,2,2.4GPa_decomp;6.2GPa,0.0242155,1,1,0,matched;micro;raw;shoulder
263,11.150143,5,0.7GPa;1.3GPa;3.9GPa;6.6GPa;12.8GPa,0.300094,2,3,0,bump;matched;micro;raw;residual;shoulder
264,11.200411,2,3.9GPa;5GPa,1,3,0,0,bump;matched;micro;raw;residual;shoulder
265,11.245706,3,2.3GPa;6.2GPa;6.6GPa,1,2,2,0,bump;matched;micro;raw;residual;shoulder
266,11.291496,5,1GPa;6.6GPa;7.4GPa;10.4GPa;12.8GPa,1,7,2,0,bump;matched;micro;raw;residual;shoulder
267,11.324044,7,1GPa;1.5GPa;3.9GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.0267931,6,2,0,bump;matched;micro;raw;residual;shoulder
268,11.363412,1,1.5GPa,0.00651666,1,0,0,matched
269,11.397018,1,2.3GPa,0.0497072,2,0,0,bump;matched;micro;raw;residual;shoulder
270,11.442408,2,6.2GPa;12.8GPa,0.164933,2,1,0,bump;matched;micro;raw;shoulder
271,11.458774,3,0.7GPa;3.9GPa;6.2GPa,0.0444352,2,1,0,bump;matched;micro;raw;residual;shoulder
272,11.499311,5,1.3GPa;3.9GPa;6.6GPa;8.5GPa;15.6GPa,0.0633583,3,2,0,bump;matched;micro;raw;residual;shoulder
273,11.528085,4,3.9GPa;5GPa;8.5GPa;10.4GPa,1,4,1,0,bump;matched;micro;raw;shoulder
274,11.556451,4,1GPa;5GPa;6.2GPa;10.4GPa,0.0211072,5,0,0,bump;matched;micro;raw;residual;shoulder
275,11.584929,3,6.2GPa;6.6GPa;7.4GPa,0.0107656,3,0,0,bump;matched;micro;raw;residual;shoulder
276,11.632226,3,2.3GPa;7.4GPa;8.5GPa,0.0387018,2,1,0,bump;matched;micro;raw;shoulder
277,11.663952,5,5GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.0725103,5,2,0,bump;matched;micro;raw;shoulder
278,11.710708,8,0.7GPa;1.3GPa;3.9GPa;5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.0390417,4,6,0,bump;matched;micro;raw;residual;shoulder
279,11.753173,5,0.7GPa;1GPa;5GPa;6.2GPa;13.3GPa,0.0524033,2,4,0,bump;matched;micro;raw;shoulder
280,11.778156,3,1GPa;1.5GPa;8.5GPa,0.0652475,3,1,0,bump;matched;micro;raw;shoulder
281,11.807565,4,1.3GPa;1.5GPa;3.9GPa;9.8GPa,0.0253573,1,3,0,matched;micro;raw;shoulder
282,11.837922,2,1GPa;2.3GPa,0.0451245,2,1,0,bump;matched;micro;raw;residual;shoulder
283,11.880232,4,0.7GPa;6.2GPa;7.4GPa;12.8GPa,0.00742927,0,4,0,matched;micro;raw;shoulder
284,11.929870,6,1GPa;1.3GPa;3.9GPa;7.4GPa;8.5GPa;13.3GPa,0.0331541,4,4,0,bump;matched;micro;raw;shoulder
285,11.967093,6,0.7GPa;3.9GPa;5GPa;9.8GPa;10.4GPa;15.6GPa,0.0765938,4,4,0,bump;matched;micro;raw;shoulder
286,12.004774,3,1.3GPa;5GPa;6.2GPa,0.0114747,3,0,0,bump;matched;micro;raw;shoulder
287,12.030774,4,1GPa;1.5GPa;3.9GPa;6.2GPa,0.0127175,2,3,0,matched;micro;raw;residual;shoulder
288,12.062840,7,1.5GPa;2.3GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.013996,2,6,0,bump;matched;micro;raw;shoulder
289,12.093826,6,0.7GPa;1.3GPa;3.9GPa;7.4GPa;8.5GPa;9.8GPa,0.0212652,4,3,0,bump;matched;micro;raw;shoulder
290,12.141705,8,1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa,0.260532,7,3,0,bump;matched;micro;raw;residual;shoulder
291,12.171766,7,1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;12.8GPa;15.6GPa,0.265357,3,5,0,matched;micro;raw;residual;shoulder
292,12.202149,4,2.3GPa;6.2GPa;7.4GPa;12.8GPa,0.00611796,2,3,0,matched;micro;raw;residual;shoulder
293,12.248820,5,1.5GPa;5GPa;9.8GPa;10.4GPa;15.6GPa,0.00596324,3,3,0,bump;matched;micro;raw;shoulder
294,12.280555,4,0.7GPa;1.3GPa;3.9GPa;5GPa,0.101358,3,1,0,matched;micro;raw;shoulder
295,12.312070,8,1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;10.4GPa;15.6GPa,0.0784391,5,5,0,matched;micro;raw;shoulder
296,12.341471,8,1.5GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;10.4GPa;15.6GPa,0.1076,5,4,0,matched;micro;raw;residual;shoulder
297,12.364165,3,1GPa;9.8GPa;12.8GPa,0.00128511,1,2,0,micro;raw;shoulder
298,12.398860,7,0.7GPa;2.3GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;13.3GPa,0.57216,4,4,0,matched;micro;raw;residual;shoulder
299,12.435389,9,0.7GPa;1GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa,0.648247,9,3,0,bump;matched;micro;raw;residual;shoulder
300,12.457224,10,0.7GPa;1GPa;1.5GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.322547,6,5,0,matched;micro;raw;residual;shoulder
301,12.484556,9,1GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;13.3GPa,0.00669916,2,8,0,bump;matched;micro;raw;residual;shoulder
302,12.517073,6,0.7GPa;1.3GPa;3.9GPa;9.8GPa;10.4GPa;15.6GPa,0.248898,5,2,0,bump;matched;micro;raw;residual;shoulder
303,12.552228,9,1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.0283197,5,6,0,bump;matched;micro;raw;residual;shoulder
304,12.593728,6,0.7GPa;1GPa;1.5GPa;3.9GPa;8.5GPa;12.8GPa,0.00180981,2,5,0,bump;matched;micro;raw;shoulder
305,12.640937,10,1.3GPa;1.5GPa;2.3GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.0286468,6,8,0,bump;matched;micro;raw;residual;shoulder
306,12.669776,8,0.7GPa;1GPa;1.5GPa;2.3GPa;6.2GPa;7.4GPa;8.5GPa;12.8GPa,0.00876284,3,5,0,bump;matched;micro;raw;shoulder
307,12.692701,9,1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.0068615,3,6,0,bump;matched;micro;raw;residual;shoulder
308,12.733688,4,1GPa;3.9GPa;10.4GPa;13.3GPa,0.250949,2,2,0,matched;micro;raw;shoulder
309,12.761990,5,0.7GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa,0.0196982,4,2,0,bump;matched;micro;raw;shoulder
310,12.799138,8,2.3GPa;3.9GPa;5GPa;6.6GPa;8.5GPa;9.8GPa;13.3GPa;15.6GPa,0.0134566,4,7,0,bump;matched;micro;raw;shoulder
311,12.831839,7,0.7GPa;1.3GPa;3.9GPa;6.2GPa;8.5GPa;9.8GPa;12.8GPa,0.0355958,4,3,0,bump;matched;micro;raw;residual;shoulder
312,12.857159,6,0.7GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa,0.027502,1,5,0,bump;matched;micro;raw;shoulder
313,12.898443,8,0.7GPa;1GPa;1.5GPa;5GPa;6.6GPa;8.5GPa;12.8GPa;13.3GPa,0.0235692,8,2,0,bump;matched;micro;raw;residual;shoulder
314,12.913992,4,1.3GPa;1.5GPa;3.9GPa;9.8GPa,0.0270725,2,3,0,bump;matched;micro;raw;residual;shoulder
315,12.953746,4,3.9GPa;7.4GPa;10.4GPa;13.3GPa,0.00718684,2,3,0,matched;micro;raw;residual;shoulder
316,12.984518,6,2.3GPa;5GPa;7.4GPa;10.4GPa;13.3GPa;15.6GPa,0.0144152,4,3,0,bump;matched;micro;raw;residual;shoulder
317,13.025021,3,6.2GPa;10.4GPa;13.3GPa,4.48704e-05,2,1,0,micro;raw;shoulder
318,13.056941,3,0.7GPa;1GPa;6.6GPa,0.00209214,0,3,0,matched;micro;raw;shoulder
319,13.087343,3,2.3GPa;3.9GPa;8.5GPa,0.00632825,2,3,0,bump;matched;micro;raw;residual;shoulder
320,13.126742,5,0.7GPa;5GPa;8.5GPa;13.3GPa;15.6GPa,0.100128,6,1,0,bump;matched;micro;raw;residual;shoulder
321,13.173823,13,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa,0.282884,14,5,0,bump;matched;micro;raw;residual;shoulder
322,13.208500,9,1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa,0.0724503,9,4,0,bump;matched;micro;raw;residual;shoulder
323,13.226833,6,0.7GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.107004,3,3,0,bump;matched;micro;raw;shoulder
324,13.268590,7,0.7GPa;1GPa;1.3GPa;6.6GPa;7.4GPa;9.8GPa;13.3GPa,0.00972991,4,4,0,bump;matched;micro;raw;residual;shoulder
325,13.312011,6,1.3GPa;1.5GPa;3.9GPa;6.2GPa;12.8GPa;15.6GPa,0.215982,3,4,0,matched;micro;raw;shoulder
326,13.351751,8,0.7GPa;1GPa;1.3GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;10.4GPa,0.0988676,8,2,0,bump;matched;micro;raw;residual;shoulder
327,13.384804,5,1GPa;1.3GPa;2.3GPa;6.6GPa;7.4GPa,0.0768006,5,1,0,bump;matched;micro;raw;residual;shoulder
328,13.410347,7,0.7GPa;1.5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;15.6GPa,0.0743854,5,4,0,bump;matched;micro;raw;residual;shoulder
329,13.451058,3,3.9GPa;8.5GPa;9.8GPa,0.0308962,3,1,0,matched;micro;residual
330,13.494889,4,1GPa;1.3GPa;2.3GPa;10.4GPa,0.0465869,0,5,0,matched;micro;raw;shoulder
331,13.547301,5,0.7GPa;1.3GPa;6.6GPa;13.3GPa;15.6GPa,0.0578423,2,3,0,bump;matched;micro;raw;residual;shoulder
332,13.577400,3,1GPa;3.9GPa;10.4GPa,0.00245903,2,2,0,bump;matched;micro;raw;residual;shoulder
333,13.624605,4,1.3GPa;1.5GPa;5GPa;9.8GPa,0.0093087,3,1,0,bump;matched;micro;raw;residual;shoulder
334,13.654971,4,1GPa;6.6GPa;9.8GPa;15.6GPa,0.00402721,1,3,0,matched;micro;raw;shoulder
335,13.687771,5,0.7GPa;1GPa;2.3GPa;6.2GPa;10.4GPa,0.0157033,5,0,0,bump;matched;micro;raw;residual;shoulder
336,13.727006,8,0.7GPa;1GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa,0.0421052,5,5,0,bump;matched;micro;raw;residual;shoulder
337,13.769559,8,1GPa;1.3GPa;1.5GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.019464,4,5,0,bump;matched;micro;raw;shoulder
338,13.814797,4,1.5GPa;6.6GPa;9.8GPa;12.8GPa,0.0301971,4,1,0,bump;matched;micro;raw;residual;shoulder
339,13.828375,2,6.6GPa;12.8GPa,0.0331061,2,0,0,bump;matched;shoulder
340,13.860063,7,0.7GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;10.4GPa,0.0274167,2,7,0,bump;matched;micro;raw;residual;shoulder
341,13.923019,5,3.9GPa;6.2GPa;6.6GPa;8.5GPa;15.6GPa,0.0036713,1,4,0,bump;matched;micro;raw;residual;shoulder
342,13.950580,9,0.7GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;10.4GPa;13.3GPa;15.6GPa,0.0522466,3,8,0,bump;matched;micro;raw;residual;shoulder
343,13.998443,4,0.7GPa;6.6GPa;10.4GPa;15.6GPa,0.0779833,1,3,0,matched;micro;raw;shoulder
344,14.030919,5,0.7GPa;1GPa;1.3GPa;5GPa;9.8GPa,0.00294527,3,2,0,bump;matched;micro;raw;residual;shoulder
345,14.061432,7,0.7GPa;1.5GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa;15.6GPa,0.292057,4,4,0,bump;matched;micro;raw;shoulder
346,14.093080,5,1.3GPa;1.5GPa;6.2GPa;7.4GPa;8.5GPa,0.0585424,7,0,0,bump;matched;raw;residual
347,14.135506,14,0.7GPa;1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.230531,16,4,0,bump;matched;micro;raw;residual;shoulder
