frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.619213,1.08377,1.08377,0,43,3.614953,0.00425988,matched;raw;shoulder,3,B,1301.09,1,-0.00641181,-0.00214589,0.00157746,w8:1.08377,8,1.08377,-0.00194121,-0.00122504,0.000703955,-0.00122504,0.0028184,-0.434659,0.0534971,-0.000389176,0,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.703354,1.71973,1.71973,0,46,3.705986,-0.00263206,matched;micro;raw;shoulder,4,A,2430.52,1,0.00400583,0.0046356,0.00571333,w2:1.20085;w3:1.71973;w5:0.328957,3,1.71973,0.00574187,0.00597113,0.00631216,0.00597113,0.00207384,2.87926,0.032894,0.00125183,0,0.308514,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.857611,0.00261133,0.00127968,0.0218827,50,3.838014,0.0195969,raw;shoulder,2,B,1200,1,0.00626196,0.00142887,0.00127968,,,0,-0.0013244,0.0019737,-0.000740886,-0.000740886,0.00275003,-0.26941,0.0496703,0.000271394,0.0218827,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.927728,0.472563,0.472563,0,52,3.915661,0.0120666,matched;micro;raw;shoulder,4,A,2411.57,1,0.0128316,0.00640982,0.00200056,w2:0.472563,2,0.472563,0.0044339,0.00556494,0.00313113,0.00313113,0.00282326,1.10905,0.0485119,0.00115247,0,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,3.983821,0.00559824,3.36113,0,54,3.983820,1.13068e-06,matched;raw;residual,3,A,2320.34,1,0.0111813,0.00484346,0.00895322,w5:2.33686;w8:3.36113,8,3.36113,0.00233566,0.00368747,0.0036373,0.0036373,0.00214326,1.69709,0.0249616,-0.000739996,0,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.011868,1.31223,1.31223,0,55,4.011113,0.000754364,bump;matched;micro;raw;shoulder,5,A,2529.15,1,0.0167803,0.00773804,0.00927583,w2:1.06923;w3:1.31223,3,1.31223,0.00557243,0.00607809,0.00631157,0.00607809,0.00218413,2.78284,0.0144702,0.00109833,0,1.13589,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.124055,0.292254,0.292254,0.0243141,58,4.114567,0.00948833,matched;micro;raw;shoulder,4,A,2404.61,1,0.0139025,0.00285211,0.00364904,w2:0.292254,2,0.292254,9.45394e-05,0.00177553,0.000614732,0.000614732,0.00142527,0.431308,0.00291121,0.00118845,0.0243141,0.112187,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.208195,0.0022078,0.0022078,0,61,4.213437,-0.00524193,micro;raw;shoulder,3,A,2307.73,1,0.014261,0.00151758,0.0022078,,,0,0.0013537,0.0018042,0.00112925,0.00112925,0.00146099,0.772934,0.0129686,0.000515374,0,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.250265,0.564256,0.564256,0,62,4.247201,0.00306447,bump;matched;shoulder,3,A,2304.4,1,0.0140337,-0.000430397,0.00101438,w5:0.564256,5,0.564256,0.000444789,0.000635403,0.00134623,0.000635403,0.00165702,0.383461,0.00466543,-0.000241361,0,0.0420701,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.306359,0.850839,0.850839,0.0877897,64,4.306370,-1.12714e-05,matched;micro;raw;shoulder,4,A,2417.94,1,0.014909,0.00114467,0.00855179,w2:0.850839;w3:0.782433,2,0.850839,0.00280719,0.00249858,0.00435974,0.00249858,0.00146241,1.70854,0.00896206,0.000968296,0.0877897,0.154257,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.390499,0.00083997,0.00083997,0.0217433,,,,raw;shoulder,2,C,200.001,0,0.0140079,-0.00406227,0.00083997,,,0,-0.00254086,-0.00148276,-0.000735752,-0.00148276,0.00231023,-0.641822,0.00650897,0.000215649,0.0217433,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.460616,1.27555,1.27555,0,68,4.476145,-0.0155296,matched;micro;raw;shoulder,4,A,2418.12,1,0.0200693,0.00104637,0.00671353,w2:1.06741;w3:1.27555;w5:0.323127,3,1.27555,0.00382027,0.00488192,0.00434831,0.00434831,0.00258279,1.68357,0.0168604,0.00122039,0,0.448748,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.586826,0.000589001,0.000589001,0,71,4.572750,0.0140767,raw;shoulder,2,A,2204.41,1,0.0195823,0.00016744,0.000589001,,,0,0.000897426,0.00257581,0.00114206,0.00114206,0.00258813,0.441268,0.0170341,0.000522404,0,0.0420701,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.628896,1.08366,1.08366,0,73,4.634258,-0.00536157,matched;raw,2,A,2211.28,1,0.0200663,0.00106292,0.00518805,w2:0.82625;w3:1.08366;w5:0.917484,3,1.08366,0.00206566,0.0029935,0.0022974,0.0022974,0.00225338,1.01953,0.0228787,7.59497e-05,0,0.0420701,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.670966,0.948468,0.948468,0,74,4.673485,-0.00251905,matched;micro;shoulder,3,A,2312.45,1,0.0212897,0.00110219,0.00312823,w8:0.948468,8,0.948468,0.00168484,0.00205456,0.00273649,0.00205456,0.00178654,1.15002,0.02784,0.000623111,0,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.755107,0.57462,0.57462,0.0258482,76,4.744009,0.0110982,matched;micro;raw;shoulder,4,A,2413.69,1,0.0244661,0.0018491,0.00306128,w2:0.57462,2,0.57462,0.00181795,0.00282152,0.00183251,0.00183251,0.00139759,1.31119,0.0115281,0.00115092,0.0258482,0.294491,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.783153,0.513007,0.513007,0,77,4.773523,0.00963058,matched,1,B,1105.14,1,0.021743,0.000101198,0,w3:0.513007,3,0.513007,0.000135443,0.00101212,0.000492088,0.000492088,0.00106424,0.462384,0.0137576,-0.000550854,0,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.825224,0.00493703,0.00493703,0.0478627,79,4.849123,-0.0238994,micro;raw;shoulder,3,A,2309.81,1,0.0253593,0.00131822,0.00493703,,,0,0.00129049,0.00150525,0.00208912,0.00150525,0.00153594,0.980022,0.0191751,0.00084354,0.0478627,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.909364,0.00161945,0.00161945,0,81,4.899852,0.00951191,micro;raw;shoulder,3,B,1302.66,1,0.0259877,0.00109081,0.00161945,,,0,0.000201028,0.00134865,0.000282934,0.000282934,0.00106395,0.265927,0.0157203,0.000636552,0,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.937411,0.00132173,0.000578281,0.0110281,82,4.935690,0.00172083,raw,1,B,1104.07,1,0.0253778,0.00106895,0.000578281,,,0,0.000114036,0.000811639,0.00061401,0.00061401,0.00150784,0.40721,0.0219203,-8.3418e-05,0.0110281,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.965457,0.413785,0.413785,0,83,4.966939,-0.00148172,matched,1,B,1103.15,1,0.0255624,0.00148566,0,w3:0.413785,3,0.413785,-0.000119336,0.000542739,0.00104115,0.000542739,0.0019804,0.274055,0.0277463,-0.000360566,0,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,4.993504,0.469045,0.469045,0.0444507,84,4.996627,-0.00312265,matched;micro;raw;shoulder,4,A,2407.41,1,0.0285821,0.00335881,0.00365369,w2:0.469045,2,0.469045,0.000817608,0.00100388,0.00266453,0.00100388,0.00144753,0.693511,0.0387905,0.000917102,0.0444507,0.16828,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.077644,0.00524197,0.00031779,0.022017,,,,shoulder,1,C,100,0,0.0296386,0.00524197,0.00031779,,,0,-0.00105921,0.000783825,-0.000648619,-0.000648619,0.00287144,-0.225886,0.0334016,0.000136632,0.022017,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.161785,0.649079,0.649079,0.0628669,89,5.160655,0.00112984,bump;matched;micro;raw;shoulder,5,A,2547.6,1,0.0364299,0.0197758,0.00799836,w2:0.649079;w3:0.537897,2,0.649079,0.00695514,0.0079163,0.0072411,0.0072411,0.00154248,4.69444,0.018752,0.00137435,0.0628669,1.13589,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.259948,0.0254412,0.00303721,0,92,5.248253,0.0116954,micro;raw;shoulder,3,B,1300,1,0.0329704,0.0254412,0.00303721,,,0,-0.00250192,-0.000115157,-0.00113437,-0.00113437,0.00270783,-0.418924,0.00309427,0.000368186,0,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.302018,0.0271346,0.0372404,0.340933,93,5.293820,0.0081987,raw;residual,2,B,1200.04,1,0.0307707,0.0259626,0.0372404,,,0,-0.00286518,-0.000274312,-0.00225117,-0.00225117,0.00289908,-0.776513,0.00660146,-0.000777,0.340933,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.330065,9.21496,9.21496,0,94,5.329199,0.000866082,matched;raw,2,A,2217.07,1,0.0354786,0.0282532,0.00517981,w2:1.4151;w3:2.45526;w5:4.64637;w8:9.21496,8,9.21496,0.00155647,0.00272962,0.00169889,0.00169889,0.00216345,0.785269,0.0175393,0.00064696,0,0.0280467,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.358112,0.0262611,0.00339919,0.0562094,95,5.358570,-0.000458189,micro;shoulder,2,A,2224.76,1,0.0366502,0.0262611,0.00339919,,,0,0.00261919,0.00230182,0.00282459,0.00230182,0.000929681,2.47592,0.0275974,0.00084418,0.0562094,0.196327,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.456275,0.315063,0.315063,0,98,5.468507,-0.0122314,matched;micro;raw;shoulder,4,B,1400.72,1,0.0379744,0.00430067,0.00184224,w2:0.315063,2,0.315063,-0.0019099,0.000728708,0.000101959,0.000101959,0.00250579,0.0406892,0.0507901,0.000795978,0,0.0841402,1,0
