frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.358474,72.7421,72.7421,0,,,,matched,1,C,179.03,0,0.0779437,-0.0284894,0,w2:72.7421,2,72.7421,0.000259557,0.00038924,0.000222965,0.000222965,0.000354588,0.628798,0.00821825,-1.60751e-05,0,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.390105,94.7535,94.7535,0,,,,matched,1,C,195.228,0,0.0777981,-0.022811,0,w5:94.7535,5,94.7535,-2.54296e-05,3.025e-05,0.00021856,3.025e-05,0.000638099,0.0474064,0.0105928,-0.000100092,0,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.532444,1.19566e-05,1.19566e-05,0.0195505,,,,shoulder,1,C,100,0,0.0799781,-0.0539328,1.19566e-05,,,0,-0.000415926,0.000390544,-0.000290857,-0.000290857,0.000614269,-0.473501,0.0183525,-4.96553e-06,0.0195505,0.0632619,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.801307,0.000392839,0.000392839,0.013089,,,,raw,1,C,100,0,0.0839623,-0.0684447,0.000392839,,,0,-0.000656911,-0.00017661,-0.000289049,-0.000289049,0.000728646,-0.396692,0.00898816,-0.000290463,0.013089,0.0316309,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.912015,0.000271425,0.000271425,0.0195992,,,,raw,1,C,100,0,0.0854178,-0.0845253,0.000271425,,,0,-0.000469946,-0.000359198,0.000615353,-0.000359198,0.000656047,-0.547518,0.0148748,-5.46889e-05,0.0195992,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.927831,3.37673e-05,3.37673e-05,0.0100165,,,,shoulder,1,C,100,0,0.0846909,-0.0903235,3.37673e-05,,,0,-0.000897173,-0.000678156,0.000310409,-0.000678156,0.000557567,-1.21627,0.0155943,-2.09216e-05,0.0100165,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.943646,0.000285426,0.000285426,0.0144896,,,,raw,1,C,100,0,0.0850338,-0.092459,0.000285426,,,0,-0.00129613,-0.00095194,-0.000195425,-0.00095194,0.000549248,-1.73317,0.0150842,-0.000147546,0.0144896,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,8.959462,7.50086,7.50086,0,,,,matched,1,C,107.501,0,0.0847484,-0.0926124,0,w8:7.50086,8,7.50086,-0.00146884,-0.000883943,-0.000683948,-0.000883943,0.000800167,-1.1047,0.0130896,-0.000272294,0,0.0790773,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.101801,0.000637911,0.000637911,0.0105473,,,,raw,1,C,101.006,0,0.0884435,-0.121194,0.000637911,,,0,-6.65959e-05,0.000155696,0.00171871,0.000155696,0.00154825,0.100562,0.0146801,0.000238709,0.0105473,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.196694,0.000608935,0.000608935,0.0337197,,,,shoulder,1,C,100.001,0,0.0884711,-0.177176,0.000608935,,,0,-0.00262276,0.000551952,-0.00213996,-0.00213996,0.0013643,-1.56854,0.0317515,0.000216018,0.0337197,0.0474464,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.259955,3.37129,3.37129,0,,,,matched,1,C,103.371,0,0.0929925,-0.181698,0,w3:3.37129,3,3.37129,-0.00161723,-0.000193327,0.00209377,-0.000193327,0.00350979,-0.0550823,0.0775556,0.000290307,0,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.275771,2.59508,2.59508,1.16038,,,,matched;shoulder,2,C,202.599,0,0.0946244,-0.182286,0.00378531,w2:2.59508,2,2.59508,-0.00160062,-0.000227892,0.00301128,-0.000227892,0.00307853,-0.0740262,0.0879915,0.000565771,1.16038,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.291586,0.000414775,0.000414775,0.0253769,,,,raw,1,C,100,0,0.0946612,-0.183539,0.000414775,,,0,-0.0111025,-0.00781091,0.0106242,-0.00781091,0.0216145,-0.361374,0.210498,0.000346142,0.0253769,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.402295,0.00332884,0.00332884,0.0088245,,,,shoulder,1,C,100.003,0,0.112969,-0.180315,0.00332884,,,0,-0.777277,-0.430751,0.108244,-0.430751,0.527527,-0.816548,7.54996,0.000547132,0.0088245,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.655342,0.145534,0.145534,1.19354,,,,shoulder,1,C,100.146,0,0.102912,-0.181926,0.145534,,,0,-0.692459,0.154865,-0.43451,-0.43451,0.519175,-0.836923,-7.48502,0.00283472,1.19354,0.0158155,1,0
