peak_group,group_two_theta,frame_count,frame_coverage_fraction,longest_consecutive_run,median_position,position_mad_deg,pressure_position_slope_deg_per_gpa,max_roi_area,mean_confidence_tier,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,frames_present
106,5.766885,7,0.411765,3,5.76474,0.0070378,-0.000712886,0.00538735,2.375,3,5,0,bump;matched;micro;raw;residual;shoulder,2,1.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa
107,5.805716,6,0.352941,2,5.79637,0.00353196,-0.000394033,0.0123464,2.57143,4,3,0,bump;matched;micro;raw;residual;shoulder,5;8,1GPa;1.5GPa;6.2GPa;9.8GPa;10.4GPa;15.6GPa
108,5.840394,10,0.588235,4,5.84381,0.00511514,0.000659745,0.0144141,2.42857,6,8,0,bump;matched;micro;raw;residual;shoulder,2;5;8,0.7GPa;2.3GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
109,5.875450,3,0.176471,2,5.88335,0.00790773,0.00093829,0.00921336,2.5,2,2,0,bump;matched;micro;raw;residual;shoulder,5,2.4GPa_decomp;3.9GPa;12.8GPa
110,5.915163,4,0.235294,2,5.91498,0.00790773,-0.00116371,0.0103468,2.5,2,2,0,bump;matched;micro;raw;residual;shoulder,8,1GPa;5GPa;6.2GPa;12.8GPa
111,5.953984,7,0.411765,3,5.95452,0.00701169,0.00126463,0.00731608,2.625,5,3,0,bump;matched;micro;raw;residual;shoulder,2;5,0.7GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa
112,5.994099,7,0.411765,3,5.98766,0.00150484,0.000272146,0.00364821,2.25,2,6,0,matched;micro;raw;shoulder,2;3;5,1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;10.4GPa;12.8GPa;13.3GPa
113,6.026880,5,0.294118,2,6.0336,0,-5.03918e-06,0.00261824,2.57143,4,3,0,matched;micro;raw;shoulder,2;3,1GPa;1.5GPa;2.3GPa;10.4GPa;12.8GPa
114,6.049416,4,0.235294,2,6.04942,0,-0.000412889,0.000469564,2.6,3,2,0,matched;micro;raw;shoulder,3,1GPa;1.5GPa;2.3GPa;12.8GPa
115,6.096070,6,0.352941,1,6.08733,0.00628051,0.000337307,0.0061075,2.14286,1,6,0,bump;matched;micro;raw;shoulder,2;5,1GPa;1.5GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa
116,6.135492,8,0.470588,3,6.12849,0,-0.00110266,0.000788178,2.18182,2,9,0,matched;micro;raw;shoulder,2;5,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;7.4GPa;8.5GPa;12.8GPa
117,6.165635,3,0.176471,2,6.16803,0.00790773,0.00422712,0.014788,2.25,1,3,0,matched;micro;raw;shoulder,2;3,1.5GPa;3.9GPa;5GPa
118,6.204448,5,0.294118,4,6.19176,0,-0.00252921,0.00109247,2.28571,2,5,0,matched;micro;raw;residual;shoulder,2,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa
119,6.231211,4,0.235294,2,6.22339,0,0.000670688,0.0048472,3,5,0,0,matched;micro;raw;shoulder,3;5,1GPa;2.4GPa_decomp;3.9GPa;9.8GPa
120,6.262012,8,0.470588,3,6.26292,0.00790773,-0.000495063,0.0175493,2.5,5,5,0,matched;micro;raw;residual;shoulder,2;3;5;8,1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa
121,6.299976,11,0.647059,4,6.28665,0.00299331,0.000487664,0.0261819,2.69231,9,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa
122,6.325754,6,0.352941,2,6.32572,0.00744588,0.00100101,0.0270855,2.28571,2,5,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;5GPa;15.6GPa
123,6.352891,4,0.235294,1,6.34991,0,0.0012554,0.0238639,2.16667,1,5,0,matched;micro;raw;shoulder,2;5,2.4GPa_decomp;5GPa;7.4GPa;9.8GPa
124,6.381548,3,0.176471,1,6.38154,0,-9.9264e-05,0.0179511,2.6,3,2,0,matched;micro;raw;shoulder,8,1.5GPa;5GPa;7.4GPa
125,6.434893,6,0.352941,2,6.42899,0.00446231,0.00105153,0.0215853,2.16667,1,5,0,matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa
126,6.450539,7,0.411765,2,6.45271,0.00790773,0.000154554,0.00815163,2.25,2,6,0,matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;9.8GPa;12.8GPa
127,6.487743,7,0.411765,2,6.49225,0,-0.000941779,0.0143416,2.375,3,5,0,matched;micro;raw;residual;shoulder,2;5,1GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;9.8GPa
128,6.521016,6,0.352941,2,6.51506,0.00699376,0.00073127,0.028928,2.5,4,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1.5GPa;2.3GPa;5GPa;7.4GPa;12.8GPa;15.6GPa
129,6.545415,9,0.529412,3,6.5397,0.00362003,-0.000845138,0.023226,2.63636,7,4,0,matched;micro;raw;residual;shoulder,2;3;8,1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa
130,6.589319,9,0.529412,2,6.58264,0.00701169,0.000686883,0.0171525,2.91667,11,1,0,bump;matched;micro;raw;shoulder,2;5;8,1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa
131,6.619488,4,0.235294,1,6.61877,0.00144288,0.00171899,0.0113613,2.57143,4,3,0,bump;matched;micro;raw;residual;shoulder,3;8,1GPa;1.5GPa;2.4GPa_decomp;6.6GPa
132,6.650353,4,0.235294,3,6.63459,0.000174604,-0.00059204,0.025918,2.75,3,1,0,bump;matched;micro;raw;residual,2,1.5GPa;2.3GPa;2.4GPa_decomp;13.3GPa
133,6.663128,5,0.294118,1,6.66622,0.00393339,-8.40597e-05,0.018489,2.42857,3,4,0,matched;micro;raw;shoulder,5;8,1GPa;3.9GPa;6.6GPa;8.5GPa;12.8GPa
134,6.697968,5,0.294118,1,6.70576,0.00790773,0.000149185,0.0135134,2.625,5,3,0,bump;matched;micro;raw;residual;shoulder,2;3,2.3GPa;5GPa;7.4GPa;9.8GPa;12.8GPa
135,6.746372,4,0.235294,1,6.7453,0.00112952,0.0016076,0.0244495,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,2;8,3.9GPa;6.2GPa;8.5GPa;10.4GPa
136,6.774472,5,0.294118,2,6.76779,0.0066804,-7.37191e-05,0.0302108,2.5,3,3,0,bump;matched;raw;shoulder,3;5,0.7GPa;5GPa;7.4GPa;8.5GPa;10.4GPa
137,6.792781,4,0.235294,2,6.79274,0,0.000299535,0.0336666,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,3,5GPa;6.2GPa;7.4GPa;9.8GPa
138,6.824368,4,0.235294,1,6.82437,0.00783094,-0.000344464,0.0179174,2.42857,3,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,6.2GPa;7.4GPa;9.8GPa;13.3GPa
139,6.863027,7,0.411765,2,6.87182,0,-0.000226231,0.0255346,2.77778,7,2,0,bump;matched;micro;raw;residual;shoulder,2;3,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;8.5GPa;9.8GPa;12.8GPa
140,6.888298,7,0.411765,3,6.90068,0.00276802,-0.000957462,0.01758,2.28571,2,5,0,bump;matched;micro;raw;residual;shoulder,3;8,1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;9.8GPa;12.8GPa
141,6.933406,7,0.411765,3,6.93508,0.0031761,0.000763892,0.0149324,2.6,6,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;15.6GPa
142,6.967050,4,0.235294,4,6.97462,0.00790773,0.00185226,0.00312977,2.66667,4,2,0,bump;matched;micro;raw;residual;shoulder,2;3;8,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa
143,6.998573,10,0.588235,5,7.01351,0.00701169,-0.00119074,0.00239266,2.33333,4,8,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;15.6GPa
144,7.039095,6,0.352941,4,7.04335,0.00701169,0.00144587,0.0112701,2.5,3,3,0,bump;matched;micro;raw;shoulder,3;5,0.7GPa;1.5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa
145,7.064327,3,0.176471,3,7.06161,0,0.00675719,0.0156695,2.66667,2,1,0,bump;matched;micro;shoulder,3,7.4GPa;8.5GPa;9.8GPa
146,7.100395,2,0.117647,1,7.09324,0,0.00263591,0.0236015,3,3,0,0,bump;matched;micro;raw;residual;shoulder,5;8,9.8GPa;12.8GPa
147,7.125125,5,0.294118,3,7.12506,0.000189444,0.00124722,0.0194189,2.2,1,4,0,matched;micro;raw;shoulder,2,0.7GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa
148,7.162105,5,0.294118,3,7.17231,0.00883654,-0.00101185,0.0129957,2.57143,4,3,0,matched;micro;raw;shoulder,2;3,1.3GPa;1.5GPa;2.3GPa;6.6GPa;7.4GPa
149,7.223982,8,0.470588,2,7.22322,0.0123552,0.00082504,0.00205354,2.22222,2,7,0,bump;matched;micro;raw;shoulder,2,0.7GPa;1.3GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa;15.6GPa
150,7.260468,3,0.176471,1,7.25139,0.000123916,7.74814e-05,0.000453984,3,3,0,0,matched;micro;raw;shoulder,2,3.9GPa;10.4GPa;15.6GPa
151,7.307626,9,0.529412,6,7.31465,0.00673109,-0.000452572,0.000270572,2.36364,4,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;13.3GPa;15.6GPa
152,7.338526,9,0.529412,4,7.33541,0.004939,-0.000298485,0.000611466,2.27273,3,8,0,bump;matched;micro;raw;shoulder,2;3,0.7GPa;1GPa;1.5GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa
153,7.373714,8,0.470588,4,7.36345,0.00135482,-0.000294185,0.00069595,2.54545,6,5,0,bump;matched;micro;raw;shoulder,2;3;5,1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
154,7.396698,8,0.470588,5,7.39373,0,-0.000382312,0.000733475,2.55556,5,4,0,bump;matched;micro;raw;shoulder,2;5,3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa
155,7.439083,11,0.647059,5,7.44118,0.00641773,5.70395e-05,0.00104703,2.5625,9,7,0,bump;matched;micro;raw;shoulder,2;3;5;8,0.7GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa
156,7.457283,12,0.705882,7,7.45699,0,0.00030994,0.00080781,2.41176,7,10,0,matched;micro;raw;shoulder,2;8,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa
157,7.488684,2,0.117647,1,7.48914,0.000520728,0.000110793,0.00056839,2,0,2,0,micro;raw;shoulder,,1GPa;10.4GPa
158,7.545056,5,0.294118,2,7.54576,0.00612691,0.000369554,0.0686224,2.4,2,3,0,matched;micro;raw;residual;shoulder,2;5,0.7GPa;2.3GPa;7.4GPa;13.3GPa;15.6GPa
159,7.583402,9,0.529412,2,7.5738,0.00610437,-0.000361701,0.0912399,2.4,4,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.5GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa
160,7.599661,11,0.647059,4,7.60185,0.00252019,0.000593545,0.0872416,2.54545,6,5,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa
161,7.646529,11,0.647059,8,7.64678,0.0111673,-0.000828852,0.0913934,2.53846,7,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
162,7.678479,8,0.470588,4,7.69422,0.00579101,0.00114928,0.0750834,2.77778,7,2,0,bump;matched;micro;raw;residual;shoulder,5,0.7GPa;1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;13.3GPa
163,7.714040,8,0.470588,3,7.71404,0.00399892,0.000564018,0.0514088,2.7,7,3,0,bump;matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1.3GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;13.3GPa;15.6GPa
164,7.742859,6,0.352941,2,7.74209,0.000414735,0.000555321,0.0325229,2.33333,2,4,0,bump;matched;micro;raw;residual;shoulder,2;5,1.3GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa
165,7.798503,9,0.529412,4,7.80156,0.00701169,-0.000540895,0.0852417,2.5,7,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa
166,7.822052,6,0.352941,2,7.82349,0.00273883,0.00109556,0.0856101,2.5,3,3,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1.5GPa;2.4GPa_decomp;8.5GPa;9.8GPa;12.8GPa
167,7.854346,7,0.411765,3,7.85427,0.00189347,-0.000350412,0.0563343,2.44444,4,5,0,bump;matched;micro;raw;residual;shoulder,2;3,1.3GPa;2.3GPa;2.4GPa_decomp;9.8GPa;10.4GPa;12.8GPa;15.6GPa
168,7.899779,5,0.294118,2,7.88401,0.00169072,-0.00229033,0.119556,2.2,1,4,0,matched;micro;raw;shoulder,2;8,1GPa;3.9GPa;6.6GPa;7.4GPa;10.4GPa
169,7.916476,5,0.294118,2,7.91564,0,8.97733e-05,0.120861,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,3;8,1.3GPa;3.9GPa;8.5GPa;9.8GPa;15.6GPa
170,7.963363,6,0.352941,3,7.97268,0.00622163,-9.23188e-05,0.0968515,2.5,3,3,0,bump;matched;micro;raw;residual;shoulder,2;5,0.7GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;13.3GPa
171,8.006504,5,0.294118,2,7.99472,0.000211985,-3.01534e-05,0.212111,3,6,0,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;7.4GPa;8.5GPa;10.4GPa
172,8.041517,6,0.352941,1,8.03658,0.00558826,0.00054005,0.194434,2.85714,6,1,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.5GPa;3.9GPa;6.6GPa;9.8GPa;12.8GPa
173,8.061055,6,0.352941,3,8.0738,0.00485093,-0.000443713,0.178031,2.85714,6,1,0,bump;matched;micro;raw;residual;shoulder,2;3,1.3GPa;1.5GPa;2.3GPa;6.6GPa;12.8GPa;13.3GPa
174,8.106667,5,0.294118,2,8.08961,0,0.00152317,0.053021,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,8,0.7GPa;2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa
175,8.130716,3,0.176471,1,8.12799,0.00701169,0.00238868,0.0243975,3,4,0,0,matched;micro;raw;shoulder,2;3,0.7GPa;3.9GPa;6.6GPa
176,8.168460,6,0.352941,2,8.15783,0.00701169,0.000444295,0.00215082,2.5,3,3,0,bump;matched;micro;raw;shoulder,2,0.7GPa;1GPa;2.3GPa;3.9GPa;5GPa;15.6GPa
177,8.193030,5,0.294118,2,8.19083,0.00632966,0.000388131,0.0025343,2.85714,6,1,0,bump;matched;micro;raw;residual;shoulder,2;3,1.3GPa;2.4GPa_decomp;5GPa;6.2GPa;10.4GPa
178,8.224169,8,0.470588,2,8.22404,0.00790773,0.000729509,0.00221859,2.7,7,3,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.5GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa
179,8.253338,10,0.588235,4,8.24777,0.000838705,0.000379952,0.00228141,2.57143,8,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;15.6GPa
180,8.280945,8,0.470588,4,8.2794,0,5.01463e-05,0.00586692,2.8,8,2,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1GPa;2.3GPa;2.4GPa_decomp;5GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa
181,8.323819,7,0.411765,2,8.31103,0.00300815,0.000151807,0.0037553,2.5,4,4,0,bump;matched;micro;raw;residual;shoulder,3;5;8,0.7GPa;1GPa;2.3GPa;6.2GPa;9.8GPa;12.8GPa;13.3GPa
182,8.345839,7,0.411765,2,8.34509,0.00243212,1.81365e-05,0.00248455,2.14286,1,6,0,micro;raw;shoulder,,1.5GPa;3.9GPa;5GPa;7.4GPa;10.4GPa;13.3GPa;15.6GPa
183,8.374289,2,0.117647,1,8.37371,0.000576032,-9.84671e-05,0.00120603,2,0,2,0,matched;residual,3,3.9GPa;15.6GPa
184,8.420329,5,0.294118,3,8.41383,0.00790773,0.00121419,0.00112775,2.33333,2,4,0,matched;micro;raw;residual;shoulder,2;3,5GPa;6.2GPa;6.6GPa;9.8GPa;13.3GPa
185,8.440657,4,0.235294,1,8.45337,0.00391085,0.00154121,0.00119611,2.8,4,1,0,matched;micro;raw;residual;shoulder,2;3;8,3.9GPa;6.2GPa;8.5GPa;15.6GPa
186,8.478543,7,0.411765,4,8.485,0.000326667,0.000672902,0.000259502,2.33333,3,6,0,matched;micro;raw;residual;shoulder,2;3,0.7GPa;1.3GPa;2.3GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa
187,8.501226,2,0.117647,1,8.50872,0.00790773,-3.29194e-16,0.000653446,2.5,2,2,0,matched;micro;raw;shoulder,2;5,7.4GPa;9.8GPa
188,8.547506,4,0.235294,1,8.54826,0,0.000320778,0.000627265,2.4,2,3,0,matched;micro;raw;shoulder,2;3;8,2.3GPa;7.4GPa;9.8GPa;12.8GPa
189,8.572916,6,0.352941,3,8.56946,0.00538958,-0.000310327,0.000869102,2.42857,3,4,0,matched;micro;raw;residual;shoulder,2;3;5,1GPa;5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa
190,8.605574,4,0.235294,1,8.59751,0.0018054,3.26696e-05,0.00291791,2.2,1,4,0,micro;raw;shoulder,,1GPa;3.9GPa;8.5GPa;15.6GPa
191,8.641886,6,0.352941,2,8.63958,0.0122446,0.000764822,0.00428004,2.57143,4,3,0,bump;matched;micro;raw;shoulder,2,1.5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa
192,8.674413,6,0.352941,2,8.67121,0.00357753,0.000359259,0.0055327,2.625,5,3,0,bump;matched;micro;raw;residual;shoulder,2;8,0.7GPa;1GPa;2.4GPa_decomp;9.8GPa;12.8GPa;15.6GPa
193,8.698683,6,0.352941,3,8.69314,0.00253811,-0.000512847,0.00766801,2.5,4,4,0,bump;matched;micro;raw;shoulder,2;3;5,1GPa;2.3GPa;2.4GPa_decomp;8.5GPa;9.8GPa;10.4GPa
194,8.729662,3,0.176471,3,8.73014,0.00790773,-0.000328462,0.00681877,2.75,3,1,0,matched;micro;raw;shoulder,2;8,2.3GPa;2.4GPa_decomp;3.9GPa
195,8.767421,5,0.294118,2,8.76968,0,-0.000262501,0.00369227,2.42857,3,4,0,bump;matched;micro;raw;shoulder,2;5,2.3GPa;5GPa;6.2GPa;12.8GPa;13.3GPa
196,8.803706,5,0.294118,2,8.80131,0.00655495,0.000912122,0.0111849,2.4,2,3,0,matched;micro;raw;shoulder,3,1GPa;5GPa;6.2GPa;9.8GPa;10.4GPa
197,8.840323,6,0.352941,3,8.83294,0.00790773,-0.00165694,0.0124578,2.4,4,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;9.8GPa
198,8.869954,7,0.411765,3,8.86457,0,-0.000186662,0.0123375,2.55556,5,4,0,matched;micro;raw;shoulder,2;3,1.5GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa
199,8.892082,7,0.411765,3,8.8962,0,0.000224183,0.0151632,2.25,2,6,0,bump;matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1GPa;1.5GPa;5GPa;7.4GPa;8.5GPa;9.8GPa
200,8.924346,7,0.411765,2,8.93095,0.00701169,0.000448672,0.0118043,2.7,7,3,0,bump;matched;micro;raw;residual;shoulder,3;5;8,1GPa;1.3GPa;5GPa;6.2GPa;9.8GPa;12.8GPa;15.6GPa
201,8.962157,5,0.294118,2,8.95946,0,-0.000701742,0.00916375,2.5,3,3,0,bump;matched;micro;raw;shoulder,2;3,1GPa;1.5GPa;2.3GPa;9.8GPa;12.8GPa
202,8.990237,4,0.235294,1,8.99109,0,-6.72214e-05,0.00421623,2.5,2,2,0,bump;matched;micro;residual,3;8,2.3GPa;5GPa;9.8GPa;15.6GPa
203,9.046025,7,0.411765,4,9.04626,0.00790773,0.00103962,0.00308174,2.625,5,3,0,bump;matched;raw;residual;shoulder,3;5;8,1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;15.6GPa
204,9.074369,8,0.470588,4,9.08599,0.00117203,0.000598103,0.00323411,2.58333,7,5,0,matched;micro;raw;shoulder,2;3,3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;15.6GPa
205,9.102263,8,0.470588,5,9.1018,0,-0.000646577,0.00464227,2.55556,5,4,0,bump;matched;micro;raw;shoulder,2;3;5;8,1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
206,9.130544,6,0.352941,3,9.13192,0.00151611,-0.000318884,0.00592707,2.5,3,3,0,matched;micro;raw;residual;shoulder,2;3;8,1.5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa;13.3GPa
207,9.170933,7,0.411765,3,9.16877,0.0103199,-0.000743984,0.00774026,2.75,6,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,2.3GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa
208,9.199949,4,0.235294,1,9.20052,0.00382278,0.00131884,0.00718383,2.8,4,1,0,bump;matched;micro;raw;shoulder,2;3,2.3GPa;7.4GPa;10.4GPa;13.3GPa
209,9.237447,4,0.235294,2,9.24336,0.000776746,0.000404915,0.00402144,2.75,3,1,0,bump;micro;raw;shoulder,,3.9GPa;7.4GPa;12.8GPa;13.3GPa
210,9.271309,5,0.294118,3,9.27063,0.0106778,0.000554129,0.0271544,2.2,1,4,0,bump;micro;raw;shoulder,,1GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa
211,9.306550,4,0.235294,2,9.3074,0.00530151,-0.000409835,0.0853754,2.2,1,4,0,bump;matched;micro;raw;shoulder,3,1.3GPa;1.5GPa;5GPa;8.5GPa
212,9.338494,4,0.235294,2,9.33288,0.00615302,-0.0025032,0.25382,2.5,2,2,0,bump;matched;micro;raw;shoulder,2;3,2.4GPa_decomp;6.2GPa;6.6GPa;8.5GPa
213,9.369401,5,0.294118,2,9.37066,0,-0.000187888,0.306996,2.5,3,3,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1GPa;2.4GPa_decomp;5GPa;6.2GPa;9.8GPa
214,9.395331,8,0.470588,3,9.39684,0.0103644,0.000137864,0.328441,2.81818,9,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1.3GPa;1.5GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa;15.6GPa
215,9.433925,4,0.235294,1,9.42602,0.00790773,0.000463296,0.21523,2.25,1,3,0,bump;matched;micro;raw;shoulder,2,2.3GPa;3.9GPa;7.4GPa;12.8GPa
216,9.450095,3,0.176471,1,9.45294,0.00319606,0.00224275,0.214876,2.66667,2,1,0,bump;matched;micro;raw;residual;shoulder,5,2.3GPa;6.6GPa;8.5GPa
217,9.480984,5,0.294118,3,9.48137,0.000388121,0.000682223,0.148858,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,5;8,1GPa;6.6GPa;8.5GPa;9.8GPa;10.4GPa
218,9.513614,3,0.176471,1,9.513,0,0.000913107,0.184388,2.66667,2,1,0,bump;matched;micro;raw;residual;shoulder,5,1.5GPa;3.9GPa;13.3GPa
219,9.560449,1,0.0588235,1,9.56045,0,,0.117914,3,1,0,0,bump;matched;micro;raw;residual;shoulder,5,5GPa
220,9.592521,4,0.235294,2,9.59317,0.00109061,0.000534593,0.130843,2.2,1,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1.3GPa;1.5GPa;6.2GPa
221,9.633151,4,0.235294,2,9.63738,0.00214283,-8.29411e-05,0.140493,2.5,2,2,0,bump;matched;micro;raw;residual;shoulder,5,3.9GPa;7.4GPa;8.5GPa;15.6GPa
222,9.670377,4,0.235294,2,9.66329,0.00786985,0.000683882,0.268361,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,3;5,0.7GPa;1GPa;6.6GPa;9.8GPa
223,9.702888,4,0.235294,2,9.70407,0.00128467,0.000708221,0.318309,2.25,1,3,0,bump;matched;micro;raw;residual;shoulder,3;8,1.3GPa;1.5GPa;10.4GPa;12.8GPa
224,9.740329,4,0.235294,2,9.75023,0,0.00481287,0.282699,2.4,2,3,0,bump;micro;raw;shoulder,,1GPa;1.5GPa;2.3GPa;3.9GPa
225,9.766064,1,0.0588235,1,9.77396,0.00790773,,0.148968,3,2,0,0,matched;residual,3,3.9GPa
226,9.807335,7,0.411765,3,9.8135,0,-0.00129024,0.0321036,2.8,8,2,0,bump;matched;micro;raw;shoulder,2;3;5,1GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa
227,9.829355,6,0.352941,5,9.82931,0,-0.000738933,0.0549105,2.57143,4,3,0,bump;matched;micro;raw;shoulder,2;3,1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa
228,9.874274,4,0.235294,2,9.87676,0,-0.00257804,0.111128,2.8,4,1,0,matched;residual,2;3;5,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa
229,9.917810,6,0.352941,1,9.91205,0.012156,0.00148533,0.152989,2.7,7,3,0,bump;matched;micro;raw;residual;shoulder,3;5;8,0.7GPa;1.5GPa;2.4GPa_decomp;6.2GPa;8.5GPa;15.6GPa
230,9.943391,4,0.235294,2,9.94189,0.00186736,0.00135759,0.167961,2.75,3,1,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1.3GPa;1.5GPa;6.2GPa;9.8GPa
