peak_group,group_two_theta,frame_count,frame_coverage_fraction,longest_consecutive_run,median_position,position_mad_deg,pressure_position_slope_deg_per_gpa,max_roi_area,mean_confidence_tier,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,frames_present
17,2.677380,8,0.470588,3,2.68072,0,-0.000664372,0.00251971,2.72727,8,3,0,bump;matched;micro;raw;shoulder,5,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
18,2.701215,10,0.588235,5,2.69654,0,-3.52384e-05,0.00347811,2.78571,11,3,0,bump;matched;micro;raw,3;5,1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa
19,2.735316,12,0.705882,6,2.73608,0.00790773,0.000139579,0.00297323,2.88889,16,2,0,matched;micro;raw;shoulder,2;3,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa
20,2.763751,4,0.235294,2,2.76179,0.00199434,-2.80005e-05,0.00195518,2.5,2,2,0,matched;micro;raw;shoulder,2,0.7GPa;1.5GPa;6.2GPa;6.6GPa
21,2.805858,1,0.0588235,1,2.80586,0,,0.000330158,3,1,0,0,matched;micro;raw;shoulder,2,15.6GPa
22,2.833904,1,0.0588235,1,2.8339,0,,7.49123e-05,3,1,0,0,raw;shoulder,,6.6GPa
23,2.874323,9,0.529412,3,2.88115,0.00517403,-0.0010047,0.000785712,2.4,4,6,0,matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;1.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;12.8GPa;13.3GPa
24,2.921953,10,0.588235,4,2.91804,0.0157243,-0.000752298,0.000499129,2.53846,7,6,0,matched;micro;raw;shoulder,2;3;5,0.7GPa;1.3GPa;1.5GPa;2.3GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;15.6GPa
25,2.956017,9,0.529412,3,2.94958,0.00174653,-0.000808194,0.00249302,2.5,5,5,0,bump;matched;micro;raw;shoulder,2;3,1.3GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa
26,2.988463,6,0.352941,2,2.98122,0,-0.00090394,0.000686731,2.77778,7,2,0,bump;matched;micro;raw;shoulder,3;5,1GPa;2.4GPa_decomp;5GPa;6.2GPa;12.8GPa;15.6GPa
27,3.015592,7,0.411765,2,3.02866,0.000784932,7.57651e-05,0.000670304,2.625,5,3,0,matched;micro;raw;shoulder,2;3;5,1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;8.5GPa;9.8GPa;13.3GPa
28,3.063378,7,0.411765,2,3.05828,0.00201432,0.000876364,0.000316184,2.5,4,4,0,matched;micro;raw;shoulder,2;3;5,0.7GPa;1.5GPa;2.4GPa_decomp;6.6GPa;9.8GPa;10.4GPa;15.6GPa
29,3.112970,12,0.705882,5,3.10774,0.00663278,0.00117069,0.00195161,2.57143,8,6,0,bump;matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
30,3.137913,9,0.529412,3,3.1284,0.00484069,-0.000543544,0.00195202,2.66667,6,3,0,bump;matched;micro;raw;residual;shoulder,2;8,0.7GPa;1GPa;1.3GPa;2.3GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa
