peak_group,group_two_theta,frame_count,frames_present,max_roi_area,frame_coverage_fraction,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,heatmap,matrix
11,2.468614,4,2.3GPa;3.9GPa;5GPa;6.2GPa,0.000468226,0.235294,0,4,0,raw;shoulder,,per_peak_heatmaps/peak_group_011_2.469deg_correlation.png,per_peak_matrices/peak_group_011_2.469deg_correlation.csv
12,2.502719,3,1GPa;3.9GPa;5GPa,0.00492679,0.176471,0,3,0,raw;shoulder,,per_peak_heatmaps/peak_group_012_2.503deg_correlation.png,per_peak_matrices/peak_group_012_2.503deg_correlation.csv
13,2.538446,1,7.4GPa,0.00142314,0.0588235,0,2,0,matched;shoulder,2,per_peak_heatmaps/peak_group_013_2.538deg_correlation.png,per_peak_matrices/peak_group_013_2.538deg_correlation.csv
14,2.585827,6,1GPa;1.5GPa;2.4GPa_decomp;6.2GPa;7.4GPa;12.8GPa,0.00248556,0.352941,4,4,0,matched;micro;raw;shoulder,2;8,per_peak_heatmaps/peak_group_014_2.586deg_correlation.png,per_peak_matrices/peak_group_014_2.586deg_correlation.csv
15,2.617174,5,1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;8.5GPa,0.00284216,0.294118,3,4,0,matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_015_2.617deg_correlation.png,per_peak_matrices/peak_group_015_2.617deg_correlation.csv
16,2.648977,6,1GPa;2.3GPa;5GPa;8.5GPa;9.8GPa;12.8GPa,0.0019452,0.352941,3,5,0,matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_016_2.649deg_correlation.png,per_peak_matrices/peak_group_016_2.649deg_correlation.csv
17,2.677380,8,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa,0.00251971,0.470588,8,3,0,bump;matched;micro;raw;shoulder,5,per_peak_heatmaps/peak_group_017_2.677deg_correlation.png,per_peak_matrices/peak_group_017_2.677deg_correlation.csv
18,2.701215,10,1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.00347811,0.588235,11,3,0,bump;matched;micro;raw,3;5,per_peak_heatmaps/peak_group_018_2.701deg_correlation.png,per_peak_matrices/peak_group_018_2.701deg_correlation.csv
19,2.735316,12,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.00297323,0.705882,16,2,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_019_2.735deg_correlation.png,per_peak_matrices/peak_group_019_2.735deg_correlation.csv
20,2.763751,4,0.7GPa;1.5GPa;6.2GPa;6.6GPa,0.00195518,0.235294,2,2,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_020_2.764deg_correlation.png,per_peak_matrices/peak_group_020_2.764deg_correlation.csv
