peak_group,group_two_theta,frame_count,frames_present,max_roi_area,frame_coverage_fraction,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,heatmap,matrix
90,5.188890,10,1GPa;1.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa,0.000710836,0.588235,11,4,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_090_5.189deg_correlation.png,per_peak_matrices/peak_group_090_5.189deg_correlation.csv
91,5.221552,5,1GPa;2.3GPa;2.4GPa_decomp;12.8GPa;13.3GPa,0.000864171,0.294118,4,4,0,matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_091_5.222deg_correlation.png,per_peak_matrices/peak_group_091_5.222deg_correlation.csv
92,5.248253,4,0.7GPa;2.3GPa;6.2GPa;10.4GPa,0.000238686,0.235294,2,2,0,micro;raw;shoulder,,per_peak_heatmaps/peak_group_092_5.248deg_correlation.png,per_peak_matrices/peak_group_092_5.248deg_correlation.csv
93,5.293820,8,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa,0.000324021,0.470588,6,7,0,matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_093_5.294deg_correlation.png,per_peak_matrices/peak_group_093_5.294deg_correlation.csv
94,5.329199,10,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.000525042,0.588235,5,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_094_5.329deg_correlation.png,per_peak_matrices/peak_group_094_5.329deg_correlation.csv
95,5.358570,8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;12.8GPa;15.6GPa,0.00063849,0.470588,6,2,0,bump;matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_095_5.359deg_correlation.png,per_peak_matrices/peak_group_095_5.359deg_correlation.csv
96,5.390218,8,1.5GPa;2.3GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;12.8GPa;15.6GPa,0.000625038,0.470588,6,4,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_096_5.390deg_correlation.png,per_peak_matrices/peak_group_096_5.390deg_correlation.csv
97,5.425539,6,2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa;9.8GPa;15.6GPa,0.000801163,0.352941,3,5,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_097_5.426deg_correlation.png,per_peak_matrices/peak_group_097_5.426deg_correlation.csv
98,5.468507,6,0.7GPa;1.3GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa,0.000950869,0.352941,3,5,0,matched;micro;raw;shoulder,2;5,per_peak_heatmaps/peak_group_098_5.469deg_correlation.png,per_peak_matrices/peak_group_098_5.469deg_correlation.csv
99,5.499076,9,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;10.4GPa;15.6GPa,0.000766985,0.529412,5,5,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_099_5.499deg_correlation.png,per_peak_matrices/peak_group_099_5.499deg_correlation.csv
100,5.553788,8,0.7GPa;5GPa;6.6GPa;7.4GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.000324126,0.470588,4,7,0,matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_100_5.554deg_correlation.png,per_peak_matrices/peak_group_100_5.554deg_correlation.csv
101,5.584541,12,1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa,0.000571411,0.705882,5,9,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_101_5.585deg_correlation.png,per_peak_matrices/peak_group_101_5.585deg_correlation.csv
102,5.611709,10,0.7GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;12.8GPa;13.3GPa;15.6GPa,0.000462346,0.588235,7,6,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_102_5.612deg_correlation.png,per_peak_matrices/peak_group_102_5.612deg_correlation.csv
103,5.659670,8,1GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;9.8GPa;12.8GPa,0.000349241,0.470588,4,6,0,bump;matched;micro;raw;residual;shoulder,2,per_peak_heatmaps/peak_group_103_5.660deg_correlation.png,per_peak_matrices/peak_group_103_5.660deg_correlation.csv
104,5.688732,8,0.7GPa;1.3GPa;1.5GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;15.6GPa,0.000110416,0.470588,3,6,0,bump;matched;micro;raw;residual;shoulder,2,per_peak_heatmaps/peak_group_104_5.689deg_correlation.png,per_peak_matrices/peak_group_104_5.689deg_correlation.csv
105,5.722733,4,7.4GPa;8.5GPa;9.8GPa;10.4GPa,0.00162801,0.235294,2,2,0,bump;matched;micro;raw;residual;shoulder,2,per_peak_heatmaps/peak_group_105_5.723deg_correlation.png,per_peak_matrices/peak_group_105_5.723deg_correlation.csv
106,5.766885,7,1.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa,0.00538735,0.411765,3,5,0,bump;matched;micro;raw;residual;shoulder,2,per_peak_heatmaps/peak_group_106_5.767deg_correlation.png,per_peak_matrices/peak_group_106_5.767deg_correlation.csv
107,5.805716,6,1GPa;1.5GPa;6.2GPa;9.8GPa;10.4GPa;15.6GPa,0.0123464,0.352941,4,3,0,bump;matched;micro;raw;residual;shoulder,5;8,per_peak_heatmaps/peak_group_107_5.806deg_correlation.png,per_peak_matrices/peak_group_107_5.806deg_correlation.csv
108,5.840394,10,0.7GPa;2.3GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0144141,0.588235,6,8,0,bump;matched;micro;raw;residual;shoulder,2;5;8,per_peak_heatmaps/peak_group_108_5.840deg_correlation.png,per_peak_matrices/peak_group_108_5.840deg_correlation.csv
109,5.875450,3,2.4GPa_decomp;3.9GPa;12.8GPa,0.00921336,0.176471,2,2,0,bump;matched;micro;raw;residual;shoulder,5,per_peak_heatmaps/peak_group_109_5.875deg_correlation.png,per_peak_matrices/peak_group_109_5.875deg_correlation.csv
110,5.915163,4,1GPa;5GPa;6.2GPa;12.8GPa,0.0103468,0.235294,2,2,0,bump;matched;micro;raw;residual;shoulder,8,per_peak_heatmaps/peak_group_110_5.915deg_correlation.png,per_peak_matrices/peak_group_110_5.915deg_correlation.csv
111,5.953984,7,0.7GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.00731608,0.411765,5,3,0,bump;matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_111_5.954deg_correlation.png,per_peak_matrices/peak_group_111_5.954deg_correlation.csv
112,5.994099,7,1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;10.4GPa;12.8GPa;13.3GPa,0.00364821,0.411765,2,6,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_112_5.994deg_correlation.png,per_peak_matrices/peak_group_112_5.994deg_correlation.csv
113,6.026880,5,1GPa;1.5GPa;2.3GPa;10.4GPa;12.8GPa,0.00261824,0.294118,4,3,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_113_6.027deg_correlation.png,per_peak_matrices/peak_group_113_6.027deg_correlation.csv
114,6.049416,4,1GPa;1.5GPa;2.3GPa;12.8GPa,0.000469564,0.235294,3,2,0,matched;micro;raw;shoulder,3,per_peak_heatmaps/peak_group_114_6.049deg_correlation.png,per_peak_matrices/peak_group_114_6.049deg_correlation.csv
115,6.096070,6,1GPa;1.5GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa,0.0061075,0.352941,1,6,0,bump;matched;micro;raw;shoulder,2;5,per_peak_heatmaps/peak_group_115_6.096deg_correlation.png,per_peak_matrices/peak_group_115_6.096deg_correlation.csv
116,6.135492,8,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;7.4GPa;8.5GPa;12.8GPa,0.000788178,0.470588,2,9,0,matched;micro;raw;shoulder,2;5,per_peak_heatmaps/peak_group_116_6.135deg_correlation.png,per_peak_matrices/peak_group_116_6.135deg_correlation.csv
117,6.165635,3,1.5GPa;3.9GPa;5GPa,0.014788,0.176471,1,3,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_117_6.166deg_correlation.png,per_peak_matrices/peak_group_117_6.166deg_correlation.csv
118,6.204448,5,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa,0.00109247,0.294118,2,5,0,matched;micro;raw;residual;shoulder,2,per_peak_heatmaps/peak_group_118_6.204deg_correlation.png,per_peak_matrices/peak_group_118_6.204deg_correlation.csv
119,6.231211,4,1GPa;2.4GPa_decomp;3.9GPa;9.8GPa,0.0048472,0.235294,5,0,0,matched;micro;raw;shoulder,3;5,per_peak_heatmaps/peak_group_119_6.231deg_correlation.png,per_peak_matrices/peak_group_119_6.231deg_correlation.csv
120,6.262012,8,1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.0175493,0.470588,5,5,0,matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_120_6.262deg_correlation.png,per_peak_matrices/peak_group_120_6.262deg_correlation.csv
121,6.299976,11,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa,0.0261819,0.647059,9,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_121_6.300deg_correlation.png,per_peak_matrices/peak_group_121_6.300deg_correlation.csv
122,6.325754,6,1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;5GPa;15.6GPa,0.0270855,0.352941,2,5,0,bump;matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_122_6.326deg_correlation.png,per_peak_matrices/peak_group_122_6.326deg_correlation.csv
123,6.352891,4,2.4GPa_decomp;5GPa;7.4GPa;9.8GPa,0.0238639,0.235294,1,5,0,matched;micro;raw;shoulder,2;5,per_peak_heatmaps/peak_group_123_6.353deg_correlation.png,per_peak_matrices/peak_group_123_6.353deg_correlation.csv
124,6.381548,3,1.5GPa;5GPa;7.4GPa,0.0179511,0.176471,3,2,0,matched;micro;raw;shoulder,8,per_peak_heatmaps/peak_group_124_6.382deg_correlation.png,per_peak_matrices/peak_group_124_6.382deg_correlation.csv
125,6.434893,6,0.7GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa,0.0215853,0.352941,1,5,0,matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_125_6.435deg_correlation.png,per_peak_matrices/peak_group_125_6.435deg_correlation.csv
126,6.450539,7,1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;9.8GPa;12.8GPa,0.00815163,0.411765,2,6,0,matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_126_6.451deg_correlation.png,per_peak_matrices/peak_group_126_6.451deg_correlation.csv
127,6.487743,7,1GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;9.8GPa,0.0143416,0.411765,3,5,0,matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_127_6.488deg_correlation.png,per_peak_matrices/peak_group_127_6.488deg_correlation.csv
128,6.521016,6,1.5GPa;2.3GPa;5GPa;7.4GPa;12.8GPa;15.6GPa,0.028928,0.352941,4,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_128_6.521deg_correlation.png,per_peak_matrices/peak_group_128_6.521deg_correlation.csv
129,6.545415,9,1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa,0.023226,0.529412,7,4,0,matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_129_6.545deg_correlation.png,per_peak_matrices/peak_group_129_6.545deg_correlation.csv
130,6.589319,9,1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa,0.0171525,0.529412,11,1,0,bump;matched;micro;raw;shoulder,2;5;8,per_peak_heatmaps/peak_group_130_6.589deg_correlation.png,per_peak_matrices/peak_group_130_6.589deg_correlation.csv
131,6.619488,4,1GPa;1.5GPa;2.4GPa_decomp;6.6GPa,0.0113613,0.235294,4,3,0,bump;matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_131_6.619deg_correlation.png,per_peak_matrices/peak_group_131_6.619deg_correlation.csv
132,6.650353,4,1.5GPa;2.3GPa;2.4GPa_decomp;13.3GPa,0.025918,0.235294,3,1,0,bump;matched;micro;raw;residual,2,per_peak_heatmaps/peak_group_132_6.650deg_correlation.png,per_peak_matrices/peak_group_132_6.650deg_correlation.csv
133,6.663128,5,1GPa;3.9GPa;6.6GPa;8.5GPa;12.8GPa,0.018489,0.294118,3,4,0,matched;micro;raw;shoulder,5;8,per_peak_heatmaps/peak_group_133_6.663deg_correlation.png,per_peak_matrices/peak_group_133_6.663deg_correlation.csv
134,6.697968,5,2.3GPa;5GPa;7.4GPa;9.8GPa;12.8GPa,0.0135134,0.294118,5,3,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_134_6.698deg_correlation.png,per_peak_matrices/peak_group_134_6.698deg_correlation.csv
135,6.746372,4,3.9GPa;6.2GPa;8.5GPa;10.4GPa,0.0244495,0.235294,3,2,0,bump;matched;micro;raw;residual;shoulder,2;8,per_peak_heatmaps/peak_group_135_6.746deg_correlation.png,per_peak_matrices/peak_group_135_6.746deg_correlation.csv
136,6.774472,5,0.7GPa;5GPa;7.4GPa;8.5GPa;10.4GPa,0.0302108,0.294118,3,3,0,bump;matched;raw;shoulder,3;5,per_peak_heatmaps/peak_group_136_6.774deg_correlation.png,per_peak_matrices/peak_group_136_6.774deg_correlation.csv
137,6.792781,4,5GPa;6.2GPa;7.4GPa;9.8GPa,0.0336666,0.235294,2,3,0,bump;matched;micro;raw;residual;shoulder,3,per_peak_heatmaps/peak_group_137_6.793deg_correlation.png,per_peak_matrices/peak_group_137_6.793deg_correlation.csv
138,6.824368,4,6.2GPa;7.4GPa;9.8GPa;13.3GPa,0.0179174,0.235294,3,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_138_6.824deg_correlation.png,per_peak_matrices/peak_group_138_6.824deg_correlation.csv
139,6.863027,7,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;8.5GPa;9.8GPa;12.8GPa,0.0255346,0.411765,7,2,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_139_6.863deg_correlation.png,per_peak_matrices/peak_group_139_6.863deg_correlation.csv
140,6.888298,7,1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;9.8GPa;12.8GPa,0.01758,0.411765,2,5,0,bump;matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_140_6.888deg_correlation.png,per_peak_matrices/peak_group_140_6.888deg_correlation.csv
141,6.933406,7,0.7GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;15.6GPa,0.0149324,0.411765,6,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_141_6.933deg_correlation.png,per_peak_matrices/peak_group_141_6.933deg_correlation.csv
142,6.967050,4,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa,0.00312977,0.235294,4,2,0,bump;matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_142_6.967deg_correlation.png,per_peak_matrices/peak_group_142_6.967deg_correlation.csv
143,6.998573,10,0.7GPa;1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;15.6GPa,0.00239266,0.588235,4,8,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_143_6.999deg_correlation.png,per_peak_matrices/peak_group_143_6.999deg_correlation.csv
144,7.039095,6,0.7GPa;1.5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa,0.0112701,0.352941,3,3,0,bump;matched;micro;raw;shoulder,3;5,per_peak_heatmaps/peak_group_144_7.039deg_correlation.png,per_peak_matrices/peak_group_144_7.039deg_correlation.csv
145,7.064327,3,7.4GPa;8.5GPa;9.8GPa,0.0156695,0.176471,2,1,0,bump;matched;micro;shoulder,3,per_peak_heatmaps/peak_group_145_7.064deg_correlation.png,per_peak_matrices/peak_group_145_7.064deg_correlation.csv
146,7.100395,2,9.8GPa;12.8GPa,0.0236015,0.117647,3,0,0,bump;matched;micro;raw;residual;shoulder,5;8,per_peak_heatmaps/peak_group_146_7.100deg_correlation.png,per_peak_matrices/peak_group_146_7.100deg_correlation.csv
147,7.125125,5,0.7GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa,0.0194189,0.294118,1,4,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_147_7.125deg_correlation.png,per_peak_matrices/peak_group_147_7.125deg_correlation.csv
148,7.162105,5,1.3GPa;1.5GPa;2.3GPa;6.6GPa;7.4GPa,0.0129957,0.294118,4,3,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_148_7.162deg_correlation.png,per_peak_matrices/peak_group_148_7.162deg_correlation.csv
149,7.223982,8,0.7GPa;1.3GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa;15.6GPa,0.00205354,0.470588,2,7,0,bump;matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_149_7.224deg_correlation.png,per_peak_matrices/peak_group_149_7.224deg_correlation.csv
150,7.260468,3,3.9GPa;10.4GPa;15.6GPa,0.000453984,0.176471,3,0,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_150_7.260deg_correlation.png,per_peak_matrices/peak_group_150_7.260deg_correlation.csv
151,7.307626,9,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;13.3GPa;15.6GPa,0.000270572,0.529412,4,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_151_7.308deg_correlation.png,per_peak_matrices/peak_group_151_7.308deg_correlation.csv
152,7.338526,9,0.7GPa;1GPa;1.5GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa,0.000611466,0.529412,3,8,0,bump;matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_152_7.339deg_correlation.png,per_peak_matrices/peak_group_152_7.339deg_correlation.csv
153,7.373714,8,1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa,0.00069595,0.470588,6,5,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_153_7.374deg_correlation.png,per_peak_matrices/peak_group_153_7.374deg_correlation.csv
154,7.396698,8,3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.000733475,0.470588,5,4,0,bump;matched;micro;raw;shoulder,2;5,per_peak_heatmaps/peak_group_154_7.397deg_correlation.png,per_peak_matrices/peak_group_154_7.397deg_correlation.csv
155,7.439083,11,0.7GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.00104703,0.647059,9,7,0,bump;matched;micro;raw;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_155_7.439deg_correlation.png,per_peak_matrices/peak_group_155_7.439deg_correlation.csv
156,7.457283,12,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa,0.00080781,0.705882,7,10,0,matched;micro;raw;shoulder,2;8,per_peak_heatmaps/peak_group_156_7.457deg_correlation.png,per_peak_matrices/peak_group_156_7.457deg_correlation.csv
157,7.488684,2,1GPa;10.4GPa,0.00056839,0.117647,0,2,0,micro;raw;shoulder,,per_peak_heatmaps/peak_group_157_7.489deg_correlation.png,per_peak_matrices/peak_group_157_7.489deg_correlation.csv
158,7.545056,5,0.7GPa;2.3GPa;7.4GPa;13.3GPa;15.6GPa,0.0686224,0.294118,2,3,0,matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_158_7.545deg_correlation.png,per_peak_matrices/peak_group_158_7.545deg_correlation.csv
159,7.583402,9,1GPa;1.5GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.0912399,0.529412,4,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_159_7.583deg_correlation.png,per_peak_matrices/peak_group_159_7.583deg_correlation.csv
160,7.599661,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa,0.0872416,0.647059,6,5,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_160_7.600deg_correlation.png,per_peak_matrices/peak_group_160_7.600deg_correlation.csv
161,7.646529,11,0.7GPa;1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0913934,0.647059,7,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_161_7.647deg_correlation.png,per_peak_matrices/peak_group_161_7.647deg_correlation.csv
162,7.678479,8,0.7GPa;1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;13.3GPa,0.0750834,0.470588,7,2,0,bump;matched;micro;raw;residual;shoulder,5,per_peak_heatmaps/peak_group_162_7.678deg_correlation.png,per_peak_matrices/peak_group_162_7.678deg_correlation.csv
163,7.714040,8,0.7GPa;1.3GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;13.3GPa;15.6GPa,0.0514088,0.470588,7,3,0,bump;matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_163_7.714deg_correlation.png,per_peak_matrices/peak_group_163_7.714deg_correlation.csv
164,7.742859,6,1.3GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa,0.0325229,0.352941,2,4,0,bump;matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_164_7.743deg_correlation.png,per_peak_matrices/peak_group_164_7.743deg_correlation.csv
165,7.798503,9,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,0.0852417,0.529412,7,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_165_7.799deg_correlation.png,per_peak_matrices/peak_group_165_7.799deg_correlation.csv
166,7.822052,6,0.7GPa;1.5GPa;2.4GPa_decomp;8.5GPa;9.8GPa;12.8GPa,0.0856101,0.352941,3,3,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_166_7.822deg_correlation.png,per_peak_matrices/peak_group_166_7.822deg_correlation.csv
167,7.854346,7,1.3GPa;2.3GPa;2.4GPa_decomp;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.0563343,0.411765,4,5,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_167_7.854deg_correlation.png,per_peak_matrices/peak_group_167_7.854deg_correlation.csv
168,7.899779,5,1GPa;3.9GPa;6.6GPa;7.4GPa;10.4GPa,0.119556,0.294118,1,4,0,matched;micro;raw;shoulder,2;8,per_peak_heatmaps/peak_group_168_7.900deg_correlation.png,per_peak_matrices/peak_group_168_7.900deg_correlation.csv
169,7.916476,5,1.3GPa;3.9GPa;8.5GPa;9.8GPa;15.6GPa,0.120861,0.294118,2,3,0,bump;matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_169_7.916deg_correlation.png,per_peak_matrices/peak_group_169_7.916deg_correlation.csv
170,7.963363,6,0.7GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;13.3GPa,0.0968515,0.352941,3,3,0,bump;matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_170_7.963deg_correlation.png,per_peak_matrices/peak_group_170_7.963deg_correlation.csv
171,8.006504,5,0.7GPa;1GPa;7.4GPa;8.5GPa;10.4GPa,0.212111,0.294118,6,0,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_171_8.007deg_correlation.png,per_peak_matrices/peak_group_171_8.007deg_correlation.csv
172,8.041517,6,1GPa;1.5GPa;3.9GPa;6.6GPa;9.8GPa;12.8GPa,0.194434,0.352941,6,1,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_172_8.042deg_correlation.png,per_peak_matrices/peak_group_172_8.042deg_correlation.csv
173,8.061055,6,1.3GPa;1.5GPa;2.3GPa;6.6GPa;12.8GPa;13.3GPa,0.178031,0.352941,6,1,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_173_8.061deg_correlation.png,per_peak_matrices/peak_group_173_8.061deg_correlation.csv
174,8.106667,5,0.7GPa;2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa,0.053021,0.294118,3,2,0,bump;matched;micro;raw;residual;shoulder,8,per_peak_heatmaps/peak_group_174_8.107deg_correlation.png,per_peak_matrices/peak_group_174_8.107deg_correlation.csv
175,8.130716,3,0.7GPa;3.9GPa;6.6GPa,0.0243975,0.176471,4,0,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_175_8.131deg_correlation.png,per_peak_matrices/peak_group_175_8.131deg_correlation.csv
176,8.168460,6,0.7GPa;1GPa;2.3GPa;3.9GPa;5GPa;15.6GPa,0.00215082,0.352941,3,3,0,bump;matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_176_8.168deg_correlation.png,per_peak_matrices/peak_group_176_8.168deg_correlation.csv
177,8.193030,5,1.3GPa;2.4GPa_decomp;5GPa;6.2GPa;10.4GPa,0.0025343,0.294118,6,1,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_177_8.193deg_correlation.png,per_peak_matrices/peak_group_177_8.193deg_correlation.csv
178,8.224169,8,1GPa;1.5GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa,0.00221859,0.470588,7,3,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_178_8.224deg_correlation.png,per_peak_matrices/peak_group_178_8.224deg_correlation.csv
179,8.253338,10,1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;15.6GPa,0.00228141,0.588235,8,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_179_8.253deg_correlation.png,per_peak_matrices/peak_group_179_8.253deg_correlation.csv
